Hospital,Hospital type,Control type,FTE Employees on Payroll,Number of Interns & Residents,BALANCE SHEET: Total Current Liabilities (G_C1THRU4_45),Total Liabilities,Net Revenue from Medicaid,HVBP payment adjustment amount,HAC reduction adjustment amount,BALANCE SHEET: Total Assets (G_C1THRU4_36),REIMBURSEMENT SETTLEMENT: Payment to cost ratio,REIMBURSEMENT SETTLEMENT: Subtotal,Total Costs,BALANCE SHEET: Cash on Hand and in Banks (G_C1THRU4_1),IPPS Interim payment,Total Bad Debt expense,STATEMENT OF REVENUES AND EXPENSES: Net Income (G3_C1_29),Total Salaries,Cost To Charge Ratio,Total Charges,State,REIMBURSEMENT SETTLEMENT: Interim payments,"RECONCILIATION OF CAPITAL COST CENTERS: Depreciation, Total (A7_3_C9_3)",Medicaid charges,IPPS Payment amount (unadjusted),Total Inpatient Days,BED DAYS: Total Hospital,BALANCE SHEET: Inventory (G_C1THRU4_7),BALANCE SHEET: Accounts Receivable (G_C1THRU4_4),TRIAL BALANCE OF EXPENSE ACCOUNTS: Interest Expense (A_C2_113),Total cost of charity care,Total Days Title XVIII,Urban (1) and Rural (2) Indicator,Cost of Uncompensated Care,"ADJUSTED SALARIES, Subtotal Salaries",Fiscal Year Begin Date,STATEMENT OF REVENUES AND EXPENSES: Net Patient Revenue (G3_C1_3),Total discharges,BALANCE SHEET: Temporary Investments (G_C1THRU4_2),"Donations, Land Improvements",NUMBER OF BEDS: Adults & Pediatrics,NUMBER OF BEDS: ICU,Fiscal Year End Date,NUMBER OF BEDS: Total Hospital,BALANCE SHEET: Total Current Assets (G_C1THRU4_11),BALANCE SHEET: Prepaid expenses (G_C1THRU4_8),Report_Period_Begin_Yr,Beginning FFY,Financial Indicators: Total Net Assets,S-10 DATA: Medicaid Costs,Financial Indicators: Cash Reserves,Financial Indicators: Net Profit Margin,Financial Indicators: Operating Profit,Financial Indicators: Operating Profit Margin,Financial Indicators: LIQUIDITY current ratio,Financial Indicators: LIQUIDITY acid-test ratio,Financial Indicators: LIQUIDITY acid-test ratio (variation),Financial Indicators: LIQUIDITY cash ratio,Financial Indicators: SOLVENCY Debt-to-Equity Ratio,Financial Indicators: SOLVENCY Debt Ratio,Financial Indicators: SOLVENCY Equity Ratio,Financial Indicators: SOLVENCY Interest Coverage Ratio,Financial Indicators: SOLVENCY total assets less total liabilities,Financial Indicators: EFFICIENCY asset turnover ratio,Financial Indicators: EFFICIENCY Accounts Receivable Turnover Ratio,: General Ownership Type
ABRAZO WEST CAMPUS (030110),General Short Term (Acute Care Hospitals),Proprietary-Corporation,48.06,971.0,34453824.0,36468728.0,,-279811.0,,242847118.0,,11162639.0,229635197.0,335031.0,47462691.0,,85549046.0,94062428.0,,3912783952.0,AZ,10910337.0,9300376.0,,52535985.0,63388.0,75555.0,7022002.0,271978433.0,163764.0,,11526.0,1.0,,91087852.0,2024-05-01 00:00:00,372157135.0,14789.0,,,187.0,20.0,2025-04-30,207.0,100895358.0,-1632728.0,2024,2024,206378390.0,,335031.0,0.22987345385706498,84364531.0,0.22669061819814365,2.928422633145163,10.386728335293057,2.7246135581350854,0.009724058496380547,0.17670807491036247,0.15017154949312597,0.8498284505068741,571.9505324735595,206378390.0,1.5324749911176627,1.3683332567770181,for-profit
ACADIA GENERAL HOSPITAL (190044),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,,234.12,7556796.0,11378164.0,,-8992.0,,22324611.0,,8270157.0,52240692.0,28444.0,6929650.0,,697388.0,17485034.0,,255910656.0,LA,8101732.0,3233561.0,,6406851.0,8014.0,19764.0,2156615.0,5765590.0,2305.0,,3080.0,1.0,,17788344.0,2023-10-01 00:00:00,49951449.0,1711.0,,,50.0,4.0,2024-09-30,54.0,11070132.0,214899.0,2023,2024,10946447.0,,28444.0,0.013961316717759279,-11403428.0,-0.22829023438339097,1.4649240233559302,0.8590177636130445,1.1510986931498481,0.003764029093811716,1.0394390070129604,0.5096690822518699,0.4903309177481301,-3544.410845986985,10946447.0,2.23750590771772,8.663718543982489,non-profit
ACADIA GREENLEAF HOSPITAL (114036),Psychiatric,Proprietary-Corporation,,207.68,2099165.0,-21080017.0,,,,28971160.0,,189643.0,22405795.0,-40540.0,,,3109812.0,13338473.0,,75921689.0,GA,233757.0,1214290.0,,,36272.0,41358.0,,4438225.0,,,3343.0,1.0,,,2024-01-01 00:00:00,27848415.0,4053.0,,,113.0,,2024-12-31,113.0,3499571.0,126881.0,2024,2024,28971160.0,,0.0,0.11166926376240802,2959240.0,0.10626242103904297,1.6671252617112042,3.595733065290246,,0.0,0.0,0.0,1.0,,28971160.0,0.9612461151020533,6.274673996924446,for-profit
ACADIA HOSPITAL (204006),Psychiatric,Voluntary Nonprofit-Other,3.97,525.49,14267105.0,61703232.0,,,,115121340.0,,399588.0,62758578.0,33273803.0,,,11531229.0,38911046.0,,115145467.0,ME,391599.0,3307501.0,,,27922.0,32485.0,83946.0,4791587.0,,,1936.0,1.0,,,2023-10-01 00:00:00,83258982.0,1742.0,36912.0,,89.0,,2024-09-30,89.0,56389422.0,13989.0,2023,2024,53418108.0,,33310715.0,0.13849831841566354,7215155.0,0.08665917870578817,3.952408144469393,3.4762917214108957,3.9455437525692845,2.332204255873914,1.1550995404030409,0.5359843101200872,0.4640156898799128,,53418108.0,0.7232280479014577,17.376076443984008,non-profit
ACADIA SONORA BEHAVIORAL HOSPITAL (034022),Psychiatric,Proprietary-Corporation,,262.68,1516280.0,-38088123.0,,,,33055025.0,,287291.0,32054143.0,-104140.0,,,10510629.0,22871322.0,,117678048.0,AZ,281544.0,1389174.0,,,48453.0,51240.0,116869.0,14491561.0,,,2576.0,1.0,,,2024-01-01 00:00:00,51125846.0,3760.0,,,140.0,,2024-12-31,140.0,8194238.0,181551.0,2024,2024,33055025.0,,0.0,0.20558347337665572,10466723.0,0.20472469052150258,5.404172052655182,16.48916427045137,5.207361437201572,0.0,0.0,0.0,1.0,,33055025.0,1.5466890737489989,3.527973694483293,for-profit
ACADIA ST LANDRY HOSPITAL (191319),General Short Term (Critical Access Hospitals),Governmental-Hospital District,,82.44,1783382.0,1783382.0,,,,15023909.0,,1816012.0,15757205.0,1594685.0,,,240820.0,6310066.0,,15037508.0,LA,1804726.0,187798.0,,,2168.0,5475.0,283663.0,4446306.0,,,1187.0,2.0,,,2024-07-01 00:00:00,17083256.0,59.0,6865.0,,15.0,,2025-06-30,15.0,4915998.0,188081.0,2024,2024,13240527.0,,1601550.0,0.014096844301812255,-1002474.0,-0.058681670519952406,2.7565591667965696,3.5224147154115046,2.4920370397368594,0.8941914856155327,0.13469116448310556,0.11870292877838917,0.8812970712216108,,13240527.0,1.1370713174580598,3.842123326644635,govt
ACADIA VERMILION HOSPITAL (194044),Psychiatric,Proprietary-Corporation,,172.45,2587152.0,-134526.0,,,,10101890.0,,7411.0,17296054.0,-48173.0,,,1587405.0,10270552.0,,61535190.0,LA,7262.0,841699.0,,,23363.0,28548.0,23672.0,3911475.0,,,329.0,1.0,,,2024-01-01 00:00:00,20446336.0,2904.0,,,78.0,,2024-12-31,78.0,2022885.0,62840.0,2024,2024,10101890.0,,0.0,0.07763762661437237,1353148.0,0.0661804638249122,0.7818964637562849,2.1254568730403163,0.748457377069457,0.0,0.0,0.0,1.0,,10101890.0,2.024010952405936,5.227270019621754,for-profit
ACADIAN MEDICAL CENTER (190318),General Short Term (Acute Care Hospitals),Proprietary-Corporation,,343.0,19776685.0,28839126.0,,,-27815.0,6688882.0,,1970152.0,42736432.0,4341450.0,2258565.0,,-1433450.0,21767914.0,,248580912.0,LA,1930739.0,450799.0,,2785541.0,5048.0,17934.0,1810140.0,6407810.0,,,1486.0,2.0,,21767914.0,2023-10-01 00:00:00,46886813.0,1286.0,,,43.0,6.0,2024-09-30,49.0,12792606.0,233206.0,2023,2024,-22150244.0,,4341450.0,-0.0305725620549215,-1621171.0,-0.03457626774504806,0.6468528977429736,0.47105012796634016,0.543531941778918,0.21952364615202194,-1.3019778021406898,4.311501682941933,-3.3115016829419326,,-22150244.0,7.009663647826348,7.317135339530979,for-profit
ACADIANA REHABILITATION (193096),Rehabilitation,Proprietary-Corporation,,48.0,644143.0,644143.0,,,,2791381.0,,,6914287.0,118437.0,,,665080.0,3792653.0,,16649406.0,LA,,31048.0,,,4786.0,5840.0,,2415268.0,,,2135.0,1.0,,3792653.0,2024-06-01 00:00:00,7880207.0,325.0,,,16.0,,2025-05-31,16.0,2598677.0,64972.0,2024,2024,2147238.0,,118437.0,0.08439879815339876,664001.0,0.08426187281628515,4.034316914101372,4.965954764702869,,0.18386755735915783,0.2999867737065011,0.23076140448043458,0.7692385955195654,,2147238.0,2.8230495944480527,3.2626636050326505,for-profit
ACCEL REHABILITATION HOSPITAL PLANO (673055),Rehabilitation,Proprietary-Corporation,,60.6,1985510.0,5708259.0,,,,7249947.0,,,11808069.0,545487.0,,,1218771.0,4461005.0,,23474225.0,TX,,83952.0,,,7262.0,54534.0,,1772945.0,,,6024.0,1.0,,3748267.0,2024-01-01 00:00:00,14277293.0,600.0,225185.0,,149.0,,2024-12-31,149.0,2615654.0,168017.0,2024,2024,1541688.0,,770672.0,0.0853642913961351,1129492.0,0.0791110751877124,1.317371355470383,1.7815085292947404,,0.27473394744927,3.7026032504631288,0.787351824778857,0.212648175221143,,1541688.0,1.96929618933766,8.052868532300776,for-profit
ADAIR COUNTY HEALTH CENTER (370178),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,,96.76,1995170.0,10451780.0,,,,76529861.0,,211992.0,7749333.0,-24051876.0,610482.0,,-308128.0,6050154.0,,15212019.0,OK,207751.0,392400.0,,634159.0,1089.0,10950.0,614444.0,14928037.0,97778.0,,383.0,2.0,,1878482.0,2024-07-01 00:00:00,9637296.0,355.0,,,30.0,,2025-06-30,30.0,71972866.0,-958000.0,2024,2024,66078081.0,,0.0,-0.031972453684103924,-2435214.0,-0.252686438187641,36.073550624758795,7.327650776625551,35.76558488750332,0.0,0.158173176972255,0.13657126595329894,0.8634287340467011,-20.892368426435393,66078081.0,0.12592857054842946,0.6455836088830702,non-profit
ADAIR COUNTY MEMORIAL HOSPITAL (161310),General Short Term (Critical Access Hospitals),Governmental-County,,81.28,3645995.0,15316382.0,,,,46012934.0,,2433151.0,18593036.0,1318301.0,,,10142430.0,7804335.0,,28113694.0,IA,2421165.0,1331941.0,,,246.0,5800.0,374575.0,2554296.0,322270.0,,116.0,2.0,,,2024-07-01 00:00:00,16160831.0,61.0,18921178.0,,25.0,,2025-06-30,25.0,26052306.0,336980.0,2024,2024,30696552.0,,20239479.0,0.6275933459114819,-4585536.0,-0.2837438248070288,7.145458509954073,3.8524688048118554,6.950297792509315,0.3615750981556475,0.49896099079792416,0.33287123138028973,0.6671287686197103,-10.095866819747418,30696552.0,0.35122365811317313,6.326921781970453,govt
ADAMS COUNTY REGIONAL MEDICAL CENTER (361326),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,,233.11,5439382.0,31209578.0,,,,48433093.0,,1625706.0,38855174.0,4688952.0,,,-1211705.0,19505583.0,,134395066.0,OH,2586193.0,1020295.0,,,2376.0,9150.0,362443.0,29551348.0,1528658.0,,1100.0,2.0,,,2024-01-01 00:00:00,41231707.0,385.0,10324951.0,,25.0,,2024-12-31,25.0,23381977.0,460501.0,2024,2024,17223515.0,,15013903.0,-0.02938769913164158,-3592563.0,-0.08713107609151374,4.298645875579248,6.07212271541142,4.147352217586483,0.8620376358931953,1.8120330257790005,0.6443853998752465,0.35561460012475354,-1.682696849131722,17223515.0,0.851312696465617,1.3952563855970292,non-profit
ADAMS MEMORIAL HOSPITAL (151330),General Short Term (Critical Access Hospitals),Governmental-County,,630.95,5408932.0,25890607.0,,,,48162378.0,,7605135.0,81917792.0,-239864.0,,,-3535025.0,48396114.0,,156385792.0,IN,7470281.0,1718965.0,,,3511.0,9150.0,647992.0,43052445.0,,,1193.0,1.0,,,2024-01-01 00:00:00,95263093.0,1037.0,,,21.0,4.0,2024-12-31,25.0,11909865.0,,2024,2024,22271771.0,,0.0,-0.03710802251612805,-2794472.0,-0.02933425644703768,2.201888468925104,9.537348962789697,,0.0,1.1624853272781945,0.537569116707651,0.46243088329234905,,22271771.0,1.9779565909307883,2.212722018459114,govt
ADCARE HOSPITAL OF WORCESTER (220062),General Short Term (Acute Care Hospitals),Proprietary-Corporation,,354.28,6836477.0,6919597.0,,,,5059093.0,,373508.0,35862252.0,54698.0,13566698.0,,6769756.0,17365056.0,,66105997.0,MA,366038.0,1051430.0,,14711477.0,35997.0,41724.0,42822.0,7264077.0,,,9750.0,1.0,,17344346.0,2023-10-01 00:00:00,38527736.0,5326.0,,,114.0,,2024-09-30,114.0,3753558.0,37737.0,2023,2024,-1860504.0,,54698.0,0.17571123307115685,6024604.0,0.1563705689843805,0.5490485816013131,2.060788180813012,0.5372648807273103,0.008000904559468275,-3.7192056561017877,1.3677544571724616,-0.3677544571724615,,-1860504.0,7.615542153504591,5.303872191883428,for-profit
ADENA REGIONAL MEDICAL CENTER (360159),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,38.07,1577.38,71453740.0,368397053.0,,-160836.0,,778550407.0,,26466773.0,387182274.0,2515560.0,32665661.0,,80979741.0,119090912.0,,2030440827.0,OH,26384890.0,23853853.0,,35700229.0,46876.0,86742.0,12940166.0,237875179.0,,,9871.0,2.0,,112017298.0,2024-01-01 00:00:00,476695504.0,12094.0,,,225.0,12.0,2024-12-31,237.0,99955612.0,5470969.0,2024,2024,410153354.0,,2515560.0,0.1698772913117301,16968456.0,0.03559600595687599,1.3988856566500227,4.497601944978667,1.1412205575243508,0.03520543501291885,0.8981934425434444,0.4731833028249897,0.5268166971750102,,410153354.0,0.612285986512881,2.0039732855019734,non-profit
ADHC (670321),General Short Term,Proprietary-Corporation,,41.92,91778964.0,92729001.0,,,,39463967.0,,107930.0,27650226.0,-410294.0,474618.0,,-8211972.0,7671577.0,,110996090.0,TX,105771.0,5766659.0,,593227.0,2212.0,10248.0,,12269200.0,139314.0,,386.0,1.0,,7671577.0,2024-01-01 00:00:00,16477048.0,554.0,,,28.0,,2024-12-31,28.0,35384993.0,498669.0,2024,2024,-53265034.0,,0.0,-0.4983885462978563,-8820739.0,-0.5353349095056348,0.3855457880304685,0.04420651337925322,,0.0,-1.740898184726588,2.3497131193121055,-1.3497131193121057,-21.922276296711026,-53265034.0,0.417521330280861,1.3429602582075442,for-profit
ADIRONDACK MEDICAL CENTER (330079),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,,642.27,25510375.0,51995354.0,,61841.0,115116.0,106092711.0,,13056623.0,115109792.0,6137103.0,10438233.0,,3101187.0,62694627.0,,337271107.0,NY,12946425.0,3974735.0,,9990781.0,7848.0,30378.0,3265217.0,18683033.0,,,2851.0,2.0,,48922464.0,2024-01-01 00:00:00,144474594.0,1831.0,9203297.0,,75.0,8.0,2024-12-31,83.0,44418129.0,4441709.0,2024,2024,54097357.0,,15340400.0,0.02146527575637278,562852.0,0.003895854519584253,1.741178990900761,1.1049656463301696,1.439069515834244,0.2405728257620674,0.9611440721586454,0.4900935560031075,0.5099064439968924,,54097357.0,1.3617768142431577,7.732930408033856,non-profit
ADMIN DE SERVICIOS MEDICOS DE PR (400127),General Short Term (Acute Care Hospitals),Governmental-State,,1253.57,683479759.0,972690584.0,,,,311390115.0,,36789.0,178106654.0,73616821.0,4650021.0,,-23263572.0,89750555.0,,157972759.0,PR,36053.0,4512240.0,,2480766.0,22015.0,25185.0,4057743.0,429454405.0,,,494.0,1.0,,69357650.0,2024-07-01 00:00:00,214754076.0,1633.0,,,,69.0,2025-06-30,69.0,212111043.0,,2024,2024,-661300469.0,,73616821.0,-0.10832656792041516,-132122149.0,-0.6152253380280428,0.31033990430139424,0.7020071153270246,,0.10770885316005385,-1.470875388113478,3.1237041162979757,-2.1237041162979757,,-661300469.0,0.6896624704994249,0.5000625759095427,govt
ADV CARE HOSP OF SOUTHERN NEW MEXICO (322004),General Long Term,Proprietary-Corporation,,41.43,237504571.0,245595115.0,,,,257152374.0,,579.0,10615642.0,29076.0,,,-612419.0,3938822.0,,20142823.0,NM,567.0,136323.0,,,4758.0,7300.0,120996.0,1867125.0,,,1389.0,1.0,,,2024-03-01 00:00:00,8381627.0,215.0,,,20.0,,2025-02-28,20.0,-11004346.0,84759.0,2024,2024,11557259.0,,29076.0,-0.07306684012543149,-1068005.0,-0.12742215801299675,0.0,0.005405293862744224,-0.0008663201686337228,0.00012242290696796738,21.250290834530922,0.9550567672379334,0.04494323276206659,,11557259.0,0.03259400980680816,4.489055098078596,for-profit
ADVANCED CARE HOSPITAL OF WHITE CO. (042011),General Long Term,Proprietary-Other,,46.7,5888855.0,5888855.0,,,,3627976.0,,99.0,6957753.0,1197646.0,,,-1070800.0,3890404.0,,24104140.0,AR,76.0,123302.0,,,4735.0,7320.0,186685.0,7776367.0,,,2629.0,2.0,,,2023-10-01 00:00:00,6169376.0,199.0,,,20.0,,2024-09-30,20.0,3236242.0,69550.0,2023,2024,-2260879.0,,1197646.0,-0.17356698635323897,-1088347.0,-0.17641119620525642,0.5495536908278434,1.342062760927209,0.5060418366558525,0.2033750194222816,-2.604674995875498,1.6231791500274533,-0.6231791500274533,,-2260879.0,1.7005007750878176,0.7933493879596989,for-profit
ADVANCED ODESSA HOSPITAL & CLINICS (670323),General Short Term,Voluntary Nonprofit-Church,,,,,,,,,,,,,,,,,,,TX,,,,,,,,,,,,,,,2024-03-05 00:00:00,,,,,,,2024-07-09,,,,2024,2024,,,0.0,,,,,,,,,,,,,,,non-profit
