Hospital,Hospital type,Control type,REIMBURSEMENT SETTLEMENT: Subtotal,IPPS Interim payment,Urban (1) and Rural (2) Indicator,NUMBER OF BEDS: Adults & Pediatrics,Total Costs,BALANCE SHEET: Temporary Investments (G_C1THRU4_2),"ADJUSTED SALARIES, Subtotal Salaries",BALANCE SHEET: Accounts Receivable (G_C1THRU4_4),Total cost of charity care,Number of Interns & Residents,Cost of Uncompensated Care,Cost To Charge Ratio,NUMBER OF BEDS: Total Hospital,HAC reduction adjustment amount,BALANCE SHEET: Prepaid expenses (G_C1THRU4_8),TRIAL BALANCE OF EXPENSE ACCOUNTS: Interest Expense (A_C2_113),REIMBURSEMENT SETTLEMENT: Payment to cost ratio,State,Medicaid charges,BALANCE SHEET: Total Current Assets (G_C1THRU4_11),STATEMENT OF REVENUES AND EXPENSES: Net Income (G3_C1_29),Total discharges,REIMBURSEMENT SETTLEMENT: Interim payments,FTE Employees on Payroll,Total Salaries,IPPS Payment amount (unadjusted),Fiscal Year End Date,Net Revenue from Medicaid,Fiscal Year Begin Date,NUMBER OF BEDS: ICU,STATEMENT OF REVENUES AND EXPENSES: Net Patient Revenue (G3_C1_3),BALANCE SHEET: Total Assets (G_C1THRU4_36),"RECONCILIATION OF CAPITAL COST CENTERS: Depreciation, Total (A7_3_C9_3)",BALANCE SHEET: Total Current Liabilities (G_C1THRU4_45),BALANCE SHEET: Inventory (G_C1THRU4_7),Total Charges,BALANCE SHEET: Cash on Hand and in Banks (G_C1THRU4_1),Total Bad Debt expense,Total Inpatient Days,HVBP payment adjustment amount,Total Liabilities,"Donations, Land Improvements",BED DAYS: Total Hospital,Total Days Title XVIII,Report_Period_Begin_Yr,Beginning FFY,Financial Indicators: Total Net Assets,S-10 DATA: Medicaid Costs,Financial Indicators: Cash Reserves,Financial Indicators: Net Profit Margin,Financial Indicators: Operating Profit,Financial Indicators: Operating Profit Margin,Financial Indicators: LIQUIDITY current ratio,Financial Indicators: LIQUIDITY acid-test ratio,Financial Indicators: LIQUIDITY acid-test ratio (variation),Financial Indicators: LIQUIDITY cash ratio,Financial Indicators: SOLVENCY Debt-to-Equity Ratio,Financial Indicators: SOLVENCY Debt Ratio,Financial Indicators: SOLVENCY Equity Ratio,Financial Indicators: SOLVENCY Interest Coverage Ratio,Financial Indicators: SOLVENCY total assets less total liabilities,Financial Indicators: EFFICIENCY asset turnover ratio,Financial Indicators: EFFICIENCY Accounts Receivable Turnover Ratio,: General Ownership Type
ABRAZO WEST CAMPUS (030110),General Short Term (Acute Care Hospitals),Proprietary-Corporation,9876153.0,41908551.0,1.0,187.0,222889075.0,,87468208.0,249960240.0,,960.1,,,207.0,,-1206195.0,143519.0,,AZ,,104448326.0,79228037.0,13528.0,9646642.0,45.45,91006880.0,47792325.0,2024-04-30,,2023-05-01 00:00:00,20.0,334274157.0,236550332.0,8744490.0,44352199.0,6825633.0,3378127928.0,323535.0,,60110.0,-6060.0,47081107.0,,75762.0,11116.0,2023,2023,189469225.0,,323535.0,0.2370151426333565,77959176.0,0.23321927336428822,2.3549751388877023,7.42943573102204,2.201078981450277,0.007294677767837396,0.24848946840839192,0.19903209013462725,0.8009679098653728,604.1267428006048,189469225.0,1.4131206419105766,1.3373093136732466,for-profit
ACADIA GENERAL HOSPITAL (190044),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,6739697.0,7009145.0,1.0,50.0,50698851.0,,17823495.0,5921176.0,,236.7,,,54.0,,232351.0,24.0,,LA,,11676667.0,6400658.0,1564.0,6604915.0,,16860604.0,6392465.0,2023-09-30,,2022-10-01 00:00:00,4.0,53325390.0,23103685.0,3452542.0,8034313.0,1788115.0,237726674.0,45315.0,,7969.0,,12854623.0,,19710.0,3333.0,2022,2023,10249062.0,,45315.0,0.1200302145000721,-4218945.0,-0.0791170022385209,1.4533497761414076,1.5392914117236907,1.2018701536771097,0.005640183547740796,1.254224337797937,0.5563884289454258,0.4436115710545742,-31933.458333333332,10249062.0,2.3080902462096415,9.0058782241906,non-profit
ACADIA GREENLEAF HOSPITAL (114036),Psychiatric,Proprietary-Corporation,333859.0,,1.0,113.0,22108575.0,,,4602563.0,,219.1,,,113.0,,94557.0,,,GA,,3904870.0,3462175.0,4074.0,350299.0,,13114248.0,,2023-12-31,,2023-01-01 00:00:00,,27363284.0,20929314.0,945550.0,1117803.0,,79971225.0,-42364.0,,38035.0,,-26012050.0,,41245.0,4361.0,2023,2023,20929314.0,,0.0,0.1265262970628818,3395875.0,0.12410334227426796,3.4933436392638058,7.214811554451008,,0.0,0.0,0.0,1.0,,20929314.0,1.307414280276936,5.945227474344186,for-profit
ACADIA HOSPITAL (204006),Psychiatric,Voluntary Nonprofit-Other,393174.0,,1.0,68.0,54524126.0,9306940.0,,6199334.0,,483.41,,,68.0,,106481.0,,,ME,,56709023.0,1176633.0,1666.0,422521.0,,35644158.0,,2023-09-30,,2022-10-01 00:00:00,,63980475.0,109664101.0,925698.0,20121342.0,82146.0,87609076.0,39038579.0,,22026.0,,68948557.0,,24820.0,1331.0,2022,2023,40715544.0,,48345519.0,0.01839050116461311,-3545436.0,-0.05541434320392276,2.8183519270235555,2.30673212552125,2.8089774528955376,1.9401578184993824,1.6934209942030984,0.6287249553069332,0.3712750446930669,,40715544.0,0.5834222358691473,10.320540077369602,non-profit
ACADIA SONORA BEHAVIORAL HOSPITAL (034022),Psychiatric,Proprietary-Corporation,238756.0,,1.0,140.0,31200066.0,,,9813047.0,,261.36,,,140.0,,154263.0,,,AZ,,8396831.0,10298768.0,3693.0,233980.0,,22462756.0,,2023-12-31,,2023-01-01 00:00:00,,49234700.0,32109500.0,1287471.0,2053237.0,,111488604.0,-45785.0,,47233.0,,-31605503.0,,51100.0,2858.0,2023,2023,32109500.0,,0.0,0.20917702352202816,10240328.0,0.2079900557939827,4.089557610738556,9.795174643745462,,0.0,0.0,0.0,1.0,,32109500.0,1.5333374857908095,5.017269355787249,for-profit
ACADIA ST LANDRY HOSPITAL (191319),General Short Term (Critical Access Hospitals),Governmental-Hospital District,1782846.0,,2.0,15.0,15675223.0,6946.0,,3086009.0,,83.94,,,15.0,,141451.0,,,LA,,4796229.0,416615.0,44.0,2032741.0,,5438586.0,,2024-06-30,,2023-07-01 00:00:00,,15945155.0,14355973.0,185481.0,750793.0,260683.0,13267304.0,2869012.0,,2023.0,,750793.0,,5490.0,1202.0,2023,2023,13605180.0,,2875958.0,0.026127999382884643,-844050.0,-0.05293457479717193,6.388217524670582,8.486541563386979,5.8526051787909585,3.821308936018317,0.05518434890240335,0.05229830120187604,0.9477016987981239,,13605180.0,1.1106983135173074,5.166917854095694,govt
ACADIA VERMILION HOSPITAL (194044),Psychiatric,Proprietary-Corporation,7655.0,,1.0,78.0,16613866.0,,,2304837.0,,160.33,,,78.0,,63083.0,,,LA,,1796517.0,1553560.0,3055.0,7502.0,,9177837.0,,2023-12-31,,2023-01-01 00:00:00,,19780158.0,10072760.0,646622.0,2568888.0,,56569962.0,-55452.0,,23093.0,,1423750.0,,28470.0,528.0,2023,2023,8649010.0,,0.0,0.07854133419965605,1426445.0,0.072114944683455,0.6993364444070742,1.5019716702324117,,0.0,0.1646142159622893,0.14134656241189109,0.858653437588109,,8649010.0,1.963727717130161,8.58202033375896,for-profit
ACADIAN MEDICAL CENTER (190318),General Short Term (Acute Care Hospitals),Proprietary-Corporation,2153999.0,2460084.0,2.0,43.0,37413560.0,,17489317.0,6879049.0,,210.0,,,49.0,,180917.0,,,LA,,8212212.0,-4729719.0,1348.0,2110929.0,,17489317.0,2770623.0,2023-09-30,,2022-10-01 00:00:00,6.0,32405556.0,-708590.0,665451.0,10516518.0,1244192.0,213234603.0,-91946.0,,4960.0,,20008202.0,,17885.0,1417.0,2022,2023,-20008202.0,,0.0,-0.145953953081379,-10988262.0,-0.3390857419635077,0.7808869817937838,0.20437658167846048,0.6453754940561125,0.0,-1.0,inf,-inf,,-20008202.0,inf,4.710761036881697,for-profit
ACADIANA REHABILITATION (193096),Rehabilitation,Proprietary-Corporation,,,1.0,16.0,6644432.0,,3145326.0,2156949.0,,49.0,,,16.0,,171333.0,,,LA,,2466520.0,527420.0,274.0,,,3145326.0,,2024-05-31,,2023-06-01 00:00:00,,6025621.0,2628837.0,53034.0,1132649.0,,15164867.0,138238.0,,4233.0,,1132649.0,,5856.0,1623.0,2023,2023,1496188.0,,138238.0,0.08752956749188175,-724870.0,-0.1202979742668847,2.177656096460598,2.4907469127682096,,0.12204840157895341,0.7570231815787856,0.4308555456272108,0.5691444543727892,,1496188.0,2.292124235926381,2.793585291075496,for-profit
ACCEL REHABILITATION HOSPITAL PLANO (673055),Rehabilitation,Proprietary-Corporation,,,1.0,149.0,11567126.0,218034.0,3902691.0,1759633.0,,65.3,,,149.0,,194046.0,,,TX,,2959588.0,1097571.0,622.0,,,4461085.0,,2023-12-31,,2023-01-01 00:00:00,,14077531.0,8591639.0,57399.0,1969956.0,,22691358.0,937336.0,,7535.0,,6720145.0,,54385.0,6475.0,2023,2023,1871494.0,,1155370.0,0.07796615755987325,1068314.0,0.07588788119166635,1.5023624893144822,1.9424728268042535,,0.47581570349794616,3.590791634918413,0.7821726448236478,0.21782735517635227,,1871494.0,1.6385151890110838,8.00026539625024,for-profit
ACCESS HOSPITAL DAYTON (364050),Psychiatric,Proprietary-Other,,,1.0,36.0,3829216.0,,,4386318.0,,30.21,,,36.0,,,,,OH,,5501895.0,41837.0,873.0,,,2883764.0,,2023-12-31,,2023-01-01 00:00:00,,3476798.0,5857912.0,643306.0,4208443.0,,14265185.0,1222113.0,,4871.0,,4208443.0,,13140.0,779.0,2023,2023,1649469.0,,1222113.0,0.012033198362401267,-1318885.0,-0.3793389779906684,1.3073469214148796,1.342602953158686,,0.29039552157413084,2.551392599679048,0.7184203176831608,0.28157968231683916,,1649469.0,0.5935217190015828,0.7926461328157238,for-profit
ACHS CENTRAL JERSEY (312017),General Long Term,Proprietary-Corporation,60484.0,,1.0,50.0,17642460.0,,,3748718.0,,79.36,,,50.0,,74980.0,6033.0,,NJ,,3195648.0,513938.0,222.0,59274.0,,10187508.0,,2024-08-31,,2023-09-01 00:00:00,,19052101.0,13155079.0,172587.0,1070846.0,364528.0,103011798.0,7313.0,,7433.0,,1070846.0,,18300.0,5907.0,2023,2023,12084233.0,,7313.0,0.026975397621501168,-50055.0,-0.0026272692969662504,2.984227423924635,3.987472521725813,2.573796792442611,0.00682917991942819,0.08861514007550168,0.08140171564154043,0.9185982843584596,20.310293386374937,12084233.0,1.4482695999013004,5.082297734852288,for-profit
ADAIR COUNTY HEALTH CENTER (370178),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,229490.0,807191.0,2.0,30.0,10757372.0,,5938749.0,15297296.0,,107.49,,,30.0,,-958000.0,101262.0,,OK,,69430023.0,-3446486.0,355.0,224899.0,,9715173.0,787611.0,2024-06-30,,2023-07-01 00:00:00,,10747643.0,74286603.0,,1702668.0,796878.0,17290119.0,-24539433.0,,1326.0,,7900626.0,,10980.0,562.0,2023,2023,66385977.0,,0.0,-0.3206736584011955,-5906513.0,-0.5495635647741556,40.77719379233062,6.960141378119516,40.30917653940757,0.0,0.11901046511675199,0.10635330841551605,0.893646691584484,,66385977.0,0.14467807876475386,0.7025844959788972,non-profit
ADAIR COUNTY MEMORIAL HOSPITAL (161310),General Short Term (Critical Access Hospitals),Governmental-County,3082731.0,,2.0,25.0,17456137.0,17553654.0,,5302345.0,,77.96,,,25.0,,293036.0,336525.0,,IA,,28865970.0,6629096.0,90.0,3604231.0,,6400803.0,,2024-06-30,,2023-07-01 00:00:00,,18014045.0,41891711.0,1249561.0,6184842.0,342153.0,27194267.0,2380342.0,,403.0,,21181643.0,,8125.0,242.0,2023,2023,20710068.0,,19933996.0,0.36799597203182294,-1000305.0,-0.055529171821209505,4.667212193941252,2.3141551554591047,4.564511268032393,0.3848670669355822,1.022770326007621,0.5056285001106782,0.4943714998893218,0.7406760270410816,20710068.0,0.43001454392731775,3.3973732376901165,govt
ADAMS COUNTY REGIONAL MEDICAL CENTER (361326),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,1737221.0,,2.0,25.0,34755153.0,7864412.0,,25198026.0,,217.96,,,25.0,,359754.0,1679700.0,,OH,,22112607.0,608218.0,493.0,2796447.0,,16898707.0,,2023-12-31,,2023-01-01 00:00:00,,36600457.0,48537590.0,1084639.0,4495857.0,365095.0,118510204.0,7154789.0,,3231.0,,29459935.0,,9125.0,1518.0,2023,2023,19077655.0,,15019201.0,0.01661777064696214,-2533749.0,-0.06922725035919633,4.918440911265638,7.331423797509574,4.757214920314414,1.5914182768713507,1.5442115396258083,0.60695092195554,0.39304907804446,-0.8627195332499851,19077655.0,0.7540641593453651,1.4525128674762062,non-profit
ADAMS MEMORIAL HOSPITAL (151330),General Short Term (Critical Access Hospitals),Governmental-County,6533896.0,,1.0,21.0,72350034.0,,,41041746.0,,562.41,,,25.0,,1087334.0,,,IN,,13987617.0,-8094543.0,931.0,7032059.0,,42128484.0,,2023-12-31,,2023-01-01 00:00:00,4.0,80738416.0,60117514.0,1630154.0,6002649.0,484240.0,133539993.0,-94399.0,,3844.0,,28839922.0,,9125.0,1494.0,2023,2023,31277592.0,,0.0,-0.1002564008687017,-3380508.0,-0.041869882609537445,2.33024069873151,7.107854548883335,2.0684272893517512,0.0,0.9220633736765925,0.47972579172186,0.5202742082781401,,31277592.0,1.3430098922586853,1.9672266379700318,govt
ADCARE HOSPITAL OF WORCESTER (220062),General Short Term (Acute Care Hospitals),Proprietary-Corporation,797499.0,13544889.0,1.0,114.0,33642350.0,,17335930.0,5865829.0,,344.6,,,114.0,,56130.0,,,MA,,18212823.0,2619318.0,4472.0,781548.0,,17507841.0,14592101.0,2023-09-30,,2022-10-01 00:00:00,,32198050.0,19440157.0,2044171.0,11774966.0,176044.0,62426882.0,461168.0,,29935.0,,11974587.0,,41610.0,11076.0,2022,2023,7465570.0,,461168.0,0.08135020599073546,1766794.0,0.05487270191828387,1.5467410266832193,0.7597741683500402,1.5270234325942003,0.039165123703966534,1.603974914172662,0.6159717228621148,0.38402827713788523,,7465570.0,1.6562649159674996,5.489087731674415,for-profit
ADENA REGIONAL MEDICAL CENTER (360159),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,29214192.0,35140481.0,2.0,211.0,413026497.0,,113418324.0,239646025.0,,1682.97,,,223.0,,8046860.0,,,OH,,112029260.0,83169657.0,9884.0,29152679.0,35.45,121068638.0,38267141.0,2023-12-31,,2023-01-01 00:00:00,12.0,490109441.0,788677858.0,25582815.0,79822549.0,11738440.0,2002958590.0,3852708.0,,43843.0,-31172.0,406961877.0,,81395.0,11103.0,2023,2023,381715981.0,,3852708.0,0.1696960924284664,29314176.0,0.05981149014430024,1.4034788590877998,4.092432452889972,1.1556128081051382,0.0482659104258873,1.0661379068643186,0.5160052014545082,0.4839947985454918,,381715981.0,0.6214317240284436,2.0451390378788883,non-profit
ADHC (670321),General Short Term,Proprietary-Corporation,,34839.0,1.0,28.0,17061189.0,,3466894.0,,,47.87,,,28.0,,701795.0,280594.0,,TX,,266666.0,-16516251.0,772.0,,,3490552.0,40016.0,2023-12-31,,2023-07-18 00:00:00,,166089130.0,3919236.0,3459385.0,49072068.0,,165947788.0,-197675.0,,3176.0,,50268396.0,,4648.0,11.0,2023,2023,-46349160.0,,0.0,-0.09944209473551942,148080310.0,0.8915713508764842,0.005434170819945881,3.023715589080126,,0.0,-1.0845589434630531,12.82607018306629,-11.82607018306629,540.0674818420921,-46349160.0,42.37793539353078,inf,for-profit
ADIRONDACK MEDICAL CENTER (330079),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,10303001.0,9422421.0,2.0,75.0,112744403.0,5103609.0,46924113.0,15927957.0,,656.7,,,83.0,31708.0,3596489.0,,,NY,,35067147.0,-1733721.0,1811.0,10243233.0,,61799550.0,9076207.0,2023-12-31,,2023-01-01 00:00:00,8.0,127682051.0,122096217.0,4239751.0,23460214.0,2943988.0,316047028.0,5381993.0,,8031.0,,49417977.0,,30295.0,2685.0,2023,2023,72678240.0,,10485602.0,-0.013578423798972339,-9423661.0,-0.07380568314962296,1.4947496642613747,0.7881232455935824,1.2159594963626503,0.22940937367408498,0.6799556098221421,0.40474617653387246,0.5952538234661275,,72678240.0,1.045749443653934,8.016222733398891,non-profit
ADMIN DE SERVICIOS MEDICOS DE PR (400127),General Short Term (Acute Care Hospitals),Governmental-State,51244.0,3373223.0,1.0,,143190592.0,7620.0,59401733.0,409991628.0,,1506.57,,,65.0,,856045.0,,,PR,,225660661.0,-4772737.0,1632.0,50218.0,,83654871.0,2279324.0,2024-06-30,,2023-07-01 00:00:00,65.0,234252304.0,313353939.0,3824412.0,770038521.0,3659251.0,152083284.0,95283251.0,,22868.0,,1054329015.0,,23790.0,364.0,2023,2023,-740975076.0,,95290871.0,-0.02037434389546068,-108452664.0,-0.4629737345080713,0.293051132957542,0.6499702655784411,0.2871874055246127,0.1237382915289247,-1.4228940340228124,3.36465856585259,-2.36465856585259,,-740975076.0,0.7475645742560779,0.5713587497937884,govt
ADV CARE HOSP OF SOUTHERN NEW MEXICO (322004),General Long Term,Proprietary-Corporation,5350.0,,1.0,20.0,10432416.0,,,2355964.0,,42.92,,,20.0,,-102600.0,,,NM,,-10214952.0,-211107.0,267.0,5243.0,,3958255.0,,2024-02-29,,2023-03-01 00:00:00,,8938522.0,245282565.0,269978.0,223561822.0,85888.0,19573294.0,89499.0,,4905.0,,233112888.0,,7320.0,1403.0,2023,2023,12169677.0,,89499.0,-0.02361766296486153,-351866.0,-0.039365120989801224,0.0,0.009994354044940644,-0.00038418008598981626,0.0004003322177254397,19.155223922541246,0.9503850711932991,0.04961492880670096,,12169677.0,0.03644173404660865,3.7939977011533284,for-profit
