Hospital,Hospital type,Control type,HAC reduction adjustment amount,Total Liabilities,Total discharges,IPPS Payment amount (unadjusted),Total Inpatient Days,Number of Interns & Residents,Urban (1) and Rural (2) Indicator,Fiscal Year Begin Date,BALANCE SHEET: Total Assets (G_C1THRU4_36),"ADJUSTED SALARIES, Subtotal Salaries",BALANCE SHEET: Accounts Receivable (G_C1THRU4_4),Net Revenue from Medicaid,TRIAL BALANCE OF EXPENSE ACCOUNTS: Interest Expense (A_C2_113),NUMBER OF BEDS: Adults & Pediatrics,Cost To Charge Ratio,Total Salaries,Total Costs,STATEMENT OF REVENUES AND EXPENSES: Net Patient Revenue (G3_C1_3),REIMBURSEMENT SETTLEMENT: Subtotal,BALANCE SHEET: Inventory (G_C1THRU4_7),"Donations, Land Improvements",REIMBURSEMENT SETTLEMENT: Interim payments,BALANCE SHEET: Temporary Investments (G_C1THRU4_2),Total cost of charity care,BALANCE SHEET: Prepaid expenses (G_C1THRU4_8),BALANCE SHEET: Total Current Liabilities (G_C1THRU4_45),Total Bad Debt expense,BED DAYS: Total Hospital,NUMBER OF BEDS: Total Hospital,REIMBURSEMENT SETTLEMENT: Payment to cost ratio,"RECONCILIATION OF CAPITAL COST CENTERS: Depreciation, Total (A7_3_C9_3)",STATEMENT OF REVENUES AND EXPENSES: Net Income (G3_C1_29),BALANCE SHEET: Cash on Hand and in Banks (G_C1THRU4_1),State,HVBP payment adjustment amount,BALANCE SHEET: Total Current Assets (G_C1THRU4_11),Total Charges,IPPS Interim payment,Medicaid charges,FTE Employees on Payroll,Cost of Uncompensated Care,Total Days Title XVIII,Fiscal Year End Date,NUMBER OF BEDS: ICU,Report_Period_Begin_Yr,Beginning FFY,Financial Indicators: Total Net Assets,S-10 DATA: Medicaid Costs,Financial Indicators: Cash Reserves,Financial Indicators: Net Profit Margin,Financial Indicators: Operating Profit,Financial Indicators: Operating Profit Margin,Financial Indicators: LIQUIDITY current ratio,Financial Indicators: LIQUIDITY acid-test ratio,Financial Indicators: LIQUIDITY acid-test ratio (variation),Financial Indicators: LIQUIDITY cash ratio,Financial Indicators: SOLVENCY Debt-to-Equity Ratio,Financial Indicators: SOLVENCY Debt Ratio,Financial Indicators: SOLVENCY Equity Ratio,Financial Indicators: SOLVENCY Interest Coverage Ratio,Financial Indicators: SOLVENCY total assets less total liabilities,Financial Indicators: EFFICIENCY asset turnover ratio,Financial Indicators: EFFICIENCY Accounts Receivable Turnover Ratio,: General Ownership Type
ACADIA ST LANDRY HOSPITAL (191319),Critical Access Hospitals,Governmental-Hospital District,,859389.0,77.0,,2849.0,100.48,2.0,2011-07-01 00:00:00,8334542.0,3742343.0,2072393.0,850196.0,,25.0,0.822054,3608290.0,10436152.0,11757477.0,1840729.0,245923.0,,1677586.0,,,51213.0,859389.0,744000.0,9150.0,25.0,,191815.0,853320.0,1308928.0,LA,,4199548.0,12695210.0,,1023642.0,,312367.0,2727.0,2012-06-30,,2011,2011,7475153.0,841489.000668,1308928.0,0.07257679517467906,202103.0,0.01718931706181522,4.886667155385978,4.927501981058636,4.540914533465055,1.5230914056381917,0.11496607494187744,0.10311172467545307,0.896888275324547,,7475153.0,1.4106926331404892,5.673381930936844,govt
ACADIA VERMILION HOSPITAL (194044),Psychiatric,Proprietary-Corporation,,5332289.0,2083.0,,15308.0,106.39,1.0,2010-12-01 00:00:00,1435207.0,,917551.0,,,54.0,,5114815.0,8192165.0,10479211.0,270273.0,29951.0,,270272.0,,,61504.0,5332289.0,,19710.0,54.0,,126391.0,170496.0,-86959.0,LA,,922047.0,20777781.0,,,,,3571.0,2011-11-30,,2010,2011,-3897082.0,,0.0,0.016269927192037646,-38724.0,-0.0036953163744865907,0.17291767194163707,0.20404876779934472,0.15576650102798253,0.0,-1.368277341867582,3.7153448944995393,-2.7153448944995393,,-3897082.0,7.301532810249672,11.42084854138898,for-profit
ACOMA CANONCITO LAGUNA HOSPITAL (320070),General Short Term (Acute Care Hospitals),Governmental-Other,,,263.0,,1305.0,,1.0,2010-10-01 00:00:00,,,,,,7.0,,1.0,,,,,,,,,,,,2555.0,7.0,,,-2.0,,NM,,,1.0,,,,,574.0,2011-09-30,,2010,2011,,,0.0,,,,,,,,,,,,,,,govt
ACUITY HOSPITAL OF SOUTH TEXAS (452040),General Long Term,Proprietary-Partnership,,10077941.0,365.0,,9411.0,145.54,1.0,2011-06-01 00:00:00,13442264.0,,2717254.0,,,30.0,,5925164.0,13611518.0,14450509.0,543.0,195084.0,,543.0,,,312242.0,2308180.0,,10980.0,30.0,,606252.0,1685841.0,915178.0,TX,,3563296.0,40102229.0,,,,,7317.0,2012-05-31,,2011,2011,3364323.0,,915178.0,0.11666308778465866,1699646.0,0.11761841745505297,1.5437686835515427,2.3040980339488253,1.3239738668561378,0.3964933410739197,2.995533128061723,0.7497205083905509,0.2502794916094491,,3364323.0,1.0750055942957228,5.318056022734717,for-profit
ACUITY SPECIALTY HOSP OF NEW JERSEY (312023),General Long Term,Proprietary-Partnership,,6676135.0,143.0,,4916.0,79.75,1.0,2011-01-01 00:00:00,8036361.0,,3401048.0,,228108.0,30.0,,3926767.0,10003024.0,12243671.0,25128.0,95161.0,,25128.0,,,262955.0,2375483.0,,7290.0,30.0,,206524.0,1323483.0,807865.0,NJ,,4230962.0,69730444.0,,,,,3869.0,2011-08-31,,2011,2011,1360226.0,,807865.0,0.10809527632684675,1321479.0,0.10793159992619861,1.7810954656379356,2.3289562585798342,1.6303404402388904,0.3400845217583119,4.908107182188842,0.83074105307116,0.16925894692884005,6.698594525400249,1360226.0,1.5235342215214076,3.599970068049613,for-profit
ACUITY SPECIALTY HOSP OF NEW JERSEY (312023),General Long Term,Proprietary-Partnership,,5286354.0,244.0,,7561.0,82.05,1.0,2011-09-01 00:00:00,8517700.0,,2463466.0,,254168.0,30.0,,6183419.0,14674136.0,17805852.0,1282.0,133350.0,,1283.0,,,196635.0,2270837.0,,10980.0,30.0,,326760.0,2871121.0,1854696.0,NJ,,4923118.0,105999641.0,,,,,5553.0,2012-08-31,,2011,2011,3231346.0,,1854696.0,0.16124592072314203,2863342.0,0.1608090418812871,2.167975068223743,3.1659176770503565,2.0226608074467696,0.8167455436035259,1.6359603706938224,0.6206316259084025,0.3793683740915975,12.551155141481225,3231346.0,2.090453056576306,7.22796742475845,for-profit
ACUITY SPECIALTY HOSPITAL (362035),General Long Term,Proprietary-Partnership,,7731485.0,631.0,,15650.0,142.84,1.0,2011-01-01 00:00:00,8286006.0,,16832567.0,,491722.0,64.0,,10076511.0,23107417.0,22912050.0,30686.0,295837.0,,30686.0,,,327086.0,3554864.0,,23360.0,64.0,,419845.0,-1253182.0,1472125.0,OH,,5839655.0,109255816.0,,,,,12445.0,2011-12-31,,2011,2011,554521.0,,1472125.0,-0.05469532407619571,-1334825.0,-0.05825864555986915,1.642722478272024,4.796670139842199,1.4674913020582503,0.41411570175399115,13.942636978581515,0.9330774078609163,0.06692259213908365,-1.8607668560690798,554521.0,2.76515006144094,1.361173848290638,for-profit
ACUTE CARE SPECIALTY HOSPITAL (362032),General Long Term,Voluntary Nonprofit-Other,,2988459.0,218.0,,5434.0,55.63,1.0,2010-10-01 00:00:00,4967033.0,3653677.0,1542658.0,,,27.0,,3653677.0,8012291.0,7815324.0,655.0,,,655.0,,,8481.0,2988459.0,,9855.0,27.0,,,-125905.0,3415894.0,OH,,4967033.0,17995810.0,,,,,1988.0,2011-09-30,,2010,2011,1978574.0,,3415894.0,-0.016110016680050628,-136610.0,-0.01747976155563096,1.6620716563285627,1.6171033298432402,,1.1430285642198872,1.5104105279863174,0.6016587769801408,0.39834122301985914,,1978574.0,1.5734391134506254,5.066141685324939,non-profit
ADAIR COUNTY HEALTH CENTER (370178),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,,972291.0,1688.0,4727654.0,5666.0,177.83,2.0,2011-07-01 00:00:00,13719636.0,5186293.0,12422797.0,,524.0,30.0,0.399646,10544388.0,10762163.0,18037274.0,529229.0,661892.0,,571506.0,,,130532.0,972291.0,978448.0,10980.0,30.0,,555168.0,175876.0,2673690.0,OK,,5529808.0,26929238.0,4548466.0,8770632.0,,320673.0,3137.0,2012-06-30,,2011,2011,12747345.0,3505147.996272,2673690.0,0.00975069736147491,88572.0,0.004910498116289634,5.687400171347878,15.707605027712896,4.8723931415594715,2.7498866080216726,0.07627400058600438,0.07086857114868061,0.9291314288513194,1228.5114503816794,12747345.0,1.3147049965465556,1.4519495086332008,non-profit
ADAIR COUNTY MEMORIAL HOSPITAL (161310),Critical Access Hospitals,Governmental-County,,11478302.0,131.0,,809.0,59.35,1.0,2011-07-01 00:00:00,18559225.0,,1521503.0,1064956.0,397521.0,25.0,0.88399,3850303.0,8776909.0,9022530.0,1648775.0,204670.0,,1585628.0,1581519.0,34058.0,194998.0,2713035.0,260817.0,9150.0,25.0,,1040458.0,356037.0,3431901.0,IA,,8058658.0,9928748.0,,1224236.0,,264618.0,623.0,2012-06-30,,2011,2011,7080923.0,1082212.38164,5013420.0,0.03946088292308255,-1335657.0,-0.1480357505045702,2.9703479682348366,2.053146384031168,2.8230339822376047,1.2649674626387053,1.6210177684462888,0.6184688207616428,0.3815311792383572,-0.7425997620251509,7080923.0,0.4861479937874561,5.930011311183744,govt
ADAMS COUNTY REGIONAL MEDICAL CENTER (361326),General Short Term (Critical Access Hospitals),Governmental-County,,34283564.0,917.0,,3431.0,222.86,2.0,2011-01-01 00:00:00,32238245.0,,2671859.0,3087930.0,1800570.0,25.0,0.471263,9108493.0,23033441.0,27466476.0,3170603.0,323665.0,,4025612.0,,1373724.0,34003.0,5798477.0,2954949.0,9125.0,25.0,,2493493.0,-171668.0,801272.0,OH,,4031849.0,48875968.0,,10999011.0,,2726951.0,1998.0,2011-12-31,,2011,2011,-2045319.0,5183426.9208929995,801272.0,-0.006250091930249807,-1674721.0,-0.060973275202832716,0.695328963105312,0.5693672666115602,0.6336458694239884,0.13818663073079362,-16.76196427061011,1.0634438692304746,-0.06344386923047456,0.4547293357103584,-2045319.0,0.8519842193642985,10.27991222590713,govt
ADAMS MEMORIAL HOSPITAL (151330),General Short Term (Critical Access Hospitals),Governmental-County,,42451050.0,1576.0,,6464.0,321.12,1.0,2011-01-01 00:00:00,65337758.0,,8768041.0,,,21.0,0.421724,18385908.0,34642789.0,40772295.0,1800242.0,669669.0,,1567966.0,,,178298.0,5176082.0,,9125.0,25.0,,3069983.0,-1238397.0,1052646.0,IN,,22052193.0,82145695.0,,,,-106726.0,3548.0,2011-12-31,4.0,2011,2011,22886708.0,,1052646.0,-0.030373492588533463,-4327019.0,-0.10612645179772195,4.260402559310305,1.6580668544277313,4.096578454514438,0.20336733459786765,1.8548342557610296,0.6497169676376101,0.3502830323623899,,22886708.0,0.6240234781242417,4.650103141625364,govt
ADCARE HOSPITAL OF WORCESTER (220062),General Short Term (Acute Care Hospitals),Proprietary-Corporation,,4995478.0,6125.0,18614233.0,36875.0,315.2,1.0,2010-10-01 00:00:00,8126439.0,14111790.0,2655027.0,4408939.0,,114.0,0.49463,13950712.0,25199163.0,31878676.0,1243550.0,93588.0,,1267926.0,124792.0,19190.0,359521.0,4987794.0,2632000.0,41610.0,114.0,,468531.0,2155891.0,3637886.0,MA,,6980829.0,50945499.0,17214092.0,12202762.0,,782939.0,19633.0,2011-09-30,,2010,2011,3130961.0,6035852.16806,3762678.0,0.06762799684654407,1904973.0,0.059756967321980374,1.3995824607030682,1.6938959387657149,1.3087388933865352,0.7293577080368596,1.5955094937305192,0.614719190041296,0.38528080995870395,,3130961.0,3.9228345896646735,12.006912170761352,for-profit
ADENA REGIONAL MEDICAL CENTER (360159),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,,231925879.0,14456.0,43557632.0,42991.0,1948.42,2.0,2011-01-01 00:00:00,435956200.0,84641750.0,149378204.0,8679103.0,9212655.0,166.0,0.293189,153457297.0,196344067.0,375367077.0,16414101.0,5702732.0,,16409483.0,51176143.0,7839914.0,3056624.0,36441935.0,24987416.0,64534.0,178.0,,17567810.0,19442326.0,24796877.0,OH,,134412114.0,669683216.0,40143136.0,120685809.0,,14998783.0,17381.0,2011-12-31,12.0,2011,2011,204030321.0,35383751.654901,75973020.0,0.05179550150052185,6597328.0,0.017575670335094412,3.6883912448666627,5.386003816756712,3.448026511215719,0.6804489662801934,1.136722609969329,0.5319935328365556,0.4680064671634444,2.6230373328861223,204030321.0,0.8610201598233951,2.5128637709421113,non-profit
ADIRONDACK MEDICAL CENTER (330079),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,,19199738.0,2636.0,11138671.0,12288.0,561.21,2.0,2011-01-01 00:00:00,74192299.0,31475146.0,14648093.0,9904408.0,757308.0,77.0,0.516264,37869463.0,78272954.0,85157768.0,6522227.0,1792856.0,,6707469.0,,113472.0,2219913.0,4212971.0,4980078.0,31025.0,85.0,,4573399.0,1098060.0,8132975.0,NY,,24811067.0,151614229.0,11128301.0,25108094.0,,2623128.0,6086.0,2011-12-31,8.0,2011,2011,54992561.0,12962405.040815998,8132975.0,0.01289441968464932,-1814446.0,-0.021306875962272754,5.8892090641022685,5.533259782704414,4.936729448173272,1.9304607128793434,0.3491333673294466,0.25878343519183844,0.7412165648081616,3.6431055792359253,54992561.0,1.14779794059219,5.813573684984114,non-profit
ADMIN DE SERVICIOS MEDICOS DE PR (400127),General Short Term (Acute Care Hospitals),Governmental-State,,351541689.0,1764.0,259106.0,24941.0,1343.0,1.0,2011-07-01 00:00:00,123804517.0,40689740.0,217661152.0,,,,0.875153,37992602.0,116796731.0,87733981.0,169415.0,2805964.0,,169415.0,,,1197221.0,70181742.0,,27816.0,76.0,,1682954.0,-20960569.0,8012510.0,PR,,69074449.0,133458704.0,211435.0,,,,333.0,2012-06-30,76.0,2011,2011,-227737172.0,,8012510.0,-0.23891049694872504,-33183380.0,-0.37822722304143475,0.9842224919409951,2.916899569121553,0.9271822292470312,0.11416801252952656,-1.543628938186692,2.839490008268438,-1.8394900082684382,,-227737172.0,0.7086492732732845,0.40307597471504697,govt
ADV CARE HOSP OF SOUTHERN NEW MEXICO (322004),General Long Term,Proprietary-Corporation,,74662903.0,230.0,,5849.0,49.61,1.0,2011-03-01 00:00:00,75724836.0,,-353907.0,,,20.0,,3930310.0,9509489.0,8488228.0,916.0,89752.0,,916.0,,,32681.0,74634176.0,,7320.0,20.0,,513716.0,601707.0,68622.0,NM,,-2589127.0,22417454.0,,,,,3621.0,2012-02-29,,2011,2011,1061933.0,,68622.0,0.07088723347205093,559193.0,0.06587864981949118,0.0,0.008981528783810784,-0.001640441504974879,0.0009194447326650997,70.30848744694816,0.9859764239040412,0.014023576095958794,,1061933.0,0.11209305227151631,inf,for-profit
ADVANCE CARE HOSPITAL (042004),General Long Term,Voluntary Nonprofit-Church,,1244898.0,180.0,,5258.0,45.7,1.0,2010-10-01 00:00:00,5102783.0,,3025219.0,,,27.0,,2517970.0,6219406.0,6387715.0,,70007.0,,,,,,613041.0,,9855.0,27.0,,60279.0,325483.0,3791888.0,AR,,4823215.0,17395297.0,,,,,3552.0,2011-09-30,,2010,2011,3857885.0,,3791888.0,0.050954527557976526,318920.0,0.04992708660295583,7.867687479303994,11.651080433445724,,6.185374224562468,0.32268924553220224,0.24396451896935456,0.7560354810306454,,3857885.0,1.2518100416968545,2.1114884575298514,non-profit
ADVANCE CARE HOSPITAL (042008),General Long Term,Voluntary Nonprofit-Church,,87177.0,254.0,,7579.0,60.01,1.0,2010-12-01 00:00:00,1750675.0,,4464633.0,,,25.0,0.30715,3448500.0,8875200.0,9723170.0,646.0,85278.0,,646.0,,,5500.0,1177703.0,,9125.0,25.0,,63711.0,1093753.0,189739.0,AR,,1407786.0,28895343.0,6246252.0,,,-14949.0,5151.0,2011-11-30,,2010,2011,1663498.0,,189739.0,0.11248934246752859,1008406.0,0.1037116495957594,1.1953658944572614,4.880793374900123,1.118285340191882,0.1611093798691181,0.0524058339715467,0.049796221457437846,0.9502037785425621,,1663498.0,5.553954903108801,2.1778206629749857,non-profit
ADVANCED CARE HOSPITAL OF MONTANA (272001),General Long Term,Proprietary-Corporation,,113694417.0,410.0,,11493.0,132.3,1.0,2011-09-01 00:00:00,115404331.0,,4810712.0,,,40.0,,7564023.0,16634890.0,16979217.0,,118217.0,,,,,24186.0,98085675.0,,14640.0,40.0,,1147544.0,433996.0,37254.0,MT,,2481035.0,31390702.0,,,,,6851.0,2012-08-31,,2011,2011,1709914.0,,37254.0,0.025560424841734458,237170.0,0.01396825307079826,0.025294570282561647,0.053850493458907224,0.023842747679515892,0.00037981081335271435,66.49130716515567,0.9851832770470287,0.014816722952971323,,1709914.0,0.14712807442209427,3.529460296105857,for-profit
ADVANCED CARE HOSPITAL OF WHITE CO. (042011),General Long Term,Proprietary-Other,,801051.0,221.0,,5960.0,58.16,2.0,2010-10-01 00:00:00,3232389.0,,1967413.0,,5029.0,27.0,,2880348.0,6781093.0,7578930.0,,205090.0,,,,,21815.0,801051.0,,9855.0,27.0,,330426.0,706527.0,656059.0,AR,,2850377.0,27830019.0,,,,,4602.0,2011-09-30,,2010,2011,2431338.0,,656059.0,0.09322252613495573,635128.0,0.08380180315691,3.558296537923303,4.157037442060493,3.2750374195900136,0.8189977916512182,0.32946920584468303,0.24782011076018387,0.7521798892398162,191.99721614635115,2431338.0,2.344683761762585,3.852231331194823,for-profit
