Hospital,Hospital type,Control type,Fiscal Year Begin Date,HVBP payment adjustment amount,STATEMENT OF REVENUES AND EXPENSES: Net Income (G3_C1_29),Total Bad Debt expense,IPPS Payment amount (unadjusted),Fiscal Year End Date,IPPS Interim payment,State,BALANCE SHEET: Prepaid expenses (G_C1THRU4_8),"ADJUSTED SALARIES, Subtotal Salaries",Urban (1) and Rural (2) Indicator,BALANCE SHEET: Accounts Receivable (G_C1THRU4_4),Total Days Title XVIII,BALANCE SHEET: Temporary Investments (G_C1THRU4_2),Cost of Uncompensated Care,REIMBURSEMENT SETTLEMENT: Payment to cost ratio,Total cost of charity care,Medicaid charges,Net Revenue from Medicaid,Total Salaries,REIMBURSEMENT SETTLEMENT: Subtotal,NUMBER OF BEDS: Total Hospital,Total Charges,BALANCE SHEET: Cash on Hand and in Banks (G_C1THRU4_1),HAC reduction adjustment amount,NUMBER OF BEDS: Adults & Pediatrics,BED DAYS: Total Hospital,TRIAL BALANCE OF EXPENSE ACCOUNTS: Interest Expense (A_C2_113),"RECONCILIATION OF CAPITAL COST CENTERS: Depreciation, Total (A7_3_C9_3)",STATEMENT OF REVENUES AND EXPENSES: Net Patient Revenue (G3_C1_3),REIMBURSEMENT SETTLEMENT: Interim payments,BALANCE SHEET: Total Current Assets (G_C1THRU4_11),BALANCE SHEET: Inventory (G_C1THRU4_7),Total Costs,Number of Interns & Residents,Cost To Charge Ratio,Total Liabilities,Total discharges,FTE Employees on Payroll,"Donations, Land Improvements",BALANCE SHEET: Total Current Liabilities (G_C1THRU4_45),NUMBER OF BEDS: ICU,BALANCE SHEET: Total Assets (G_C1THRU4_36),Total Inpatient Days,Report_Period_Begin_Yr,Beginning FFY,Financial Indicators: Total Net Assets,S-10 DATA: Medicaid Costs,Financial Indicators: Cash Reserves,Financial Indicators: Net Profit Margin,Financial Indicators: Operating Profit,Financial Indicators: Operating Profit Margin,Financial Indicators: LIQUIDITY current ratio,Financial Indicators: LIQUIDITY acid-test ratio,Financial Indicators: LIQUIDITY acid-test ratio (variation),Financial Indicators: LIQUIDITY cash ratio,Financial Indicators: SOLVENCY Debt-to-Equity Ratio,Financial Indicators: SOLVENCY Debt Ratio,Financial Indicators: SOLVENCY Equity Ratio,Financial Indicators: SOLVENCY Interest Coverage Ratio,Financial Indicators: SOLVENCY total assets less total liabilities,Financial Indicators: EFFICIENCY asset turnover ratio,Financial Indicators: EFFICIENCY Accounts Receivable Turnover Ratio,: General Ownership Type
ACADIA GENERAL HOSPITAL (190044),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,2021-10-01 00:00:00,,-4626765.0,3649998.0,6714342.0,2022-09-30,7321609.0,LA,89482.0,16136060.0,1.0,5971387.0,3144.0,,1025570.0,,54567.0,44472871.0,6305529.0,15616399.0,6306784.0,54.0,211815554.0,48616.0,,50.0,19710.0,,3214636.0,40211124.0,6257193.0,9214991.0,1838782.0,51375572.0,223.95,0.242549,17693851.0,1495.0,,,11812701.0,4.0,21542253.0,7203.0,2021,2022,3848402.0,10786850.388178999,48616.0,-0.11506181722251783,-10101142.0,-0.251202677149736,0.7800917842583165,0.11794406715280442,0.6168552814466395,0.004115570181620613,4.597713804327094,0.8213556400066419,0.17864435999335818,,3848402.0,1.866616458362085,6.7339671670920005,non-profit
ACADIA GREENLEAF HOSPITAL (114036),Psychiatric,Proprietary-Corporation,2022-01-01 00:00:00,,4903656.0,,,2022-12-31,,GA,42531.0,,1.0,4050625.0,6232.0,,,,,,,11588592.0,315600.0,113.0,71094600.0,-24196.0,,113.0,41245.0,,963587.0,27103404.0,358405.0,3550131.0,,20139102.0,170.24,,-25249218.0,3801.0,,,1536722.0,,18229970.0,37947.0,2022,2022,18229970.0,,0.0,0.1809239902117092,4893796.0,0.1805601982688226,2.3101972900758887,5.826871093145019,,0.0,0.0,0.0,1.0,,18229970.0,1.4867497862037073,6.691165931183459,for-profit
ACADIA HOSPITAL (204006),Psychiatric,Voluntary Nonprofit-Other,2021-10-01 00:00:00,,4238562.0,,,2022-09-30,,ME,82213.0,,1.0,6010784.0,2116.0,42228.0,,,,,,33635504.0,448391.0,68.0,87520986.0,25429250.0,,68.0,24820.0,,879844.0,65046391.0,482537.0,39244184.0,69385.0,53705228.0,476.41,,20677428.0,1367.0,,,8317252.0,,58322718.0,22909.0,2021,2022,37645290.0,,25471478.0,0.06516213943368511,-937990.0,-0.014420323488815851,4.71840747400704,4.289709630055697,4.700180540399642,3.0574100676521523,0.5492699883571092,0.3545347114995567,0.6454652885004434,,37645290.0,1.1152839447571699,10.821615117096206,non-profit
ACADIA SONORA BEHAVIORAL HOSPITAL (034022),Psychiatric,Proprietary-Corporation,2022-01-01 00:00:00,,7368075.0,,,2022-12-31,,AZ,96545.0,,1.0,8411982.0,2593.0,,,,,,,20459606.0,204720.0,140.0,105423274.0,-31981.0,,140.0,51100.0,,1167664.0,45596314.0,202318.0,7248943.0,,30821789.0,250.52,,-18528526.0,3727.0,,,2363195.0,,31805225.0,45203.0,2022,2022,31805225.0,,0.0,0.16159365425898242,7301705.0,0.1601380541418326,3.0674332841767185,6.677424842215729,,0.0,0.0,0.0,1.0,,31805225.0,1.4336107982257633,5.420400804471527,for-profit
ACADIA ST LANDRY HOSPITAL (191319),General Short Term (Critical Access Hospitals),Governmental-Hospital District,2022-07-01 00:00:00,,633483.0,668591.0,,2023-06-30,,LA,158521.0,,2.0,2710569.0,1890.0,344625.0,234008.0,,,3153629.0,3965790.0,5733914.0,1799344.0,15.0,13445433.0,3230947.0,,15.0,5475.0,,184100.0,15546991.0,1747608.0,5394935.0,349891.0,15341988.0,97.52,1.141056,1312646.0,32.0,,,1312646.0,,14477083.0,2323.0,2022,2022,13164437.0,3598467.292224,3575572.0,0.04074634120518884,-978827.0,-0.06295925687485121,4.109969481490059,5.059400630482247,3.722651042245967,2.4614001033027946,0.09971151823659455,0.09067061368647261,0.9093293863135273,,13164437.0,1.0739035619261146,5.73569276413919,govt
ACADIA VERMILION HOSPITAL (194044),Psychiatric,Proprietary-Corporation,2022-01-01 00:00:00,,1375976.0,,,2022-12-31,,LA,20375.0,,1.0,1819518.0,735.0,,,,,,,8251276.0,4043.0,78.0,48853149.0,-61874.0,,78.0,28470.0,,632434.0,17616501.0,3994.0,1401005.0,,14609098.0,142.26,,2329077.0,3133.0,,,1675583.0,,9424528.0,22123.0,2022,2022,7095451.0,,0.0,0.0781072245844961,1292597.0,0.07337421886446123,0.8361298724085885,1.9070938294313085,,0.0,0.3282493248138843,0.24712929920734492,0.7528707007926551,,7095451.0,1.8692183841991874,9.681960277392145,for-profit
ACADIAN MEDICAL CENTER (190318),General Short Term (Acute Care Hospitals),Proprietary-Corporation,2021-10-01 00:00:00,,-1599242.0,2028723.0,2725087.0,2022-09-30,2310565.0,LA,386117.0,13961013.0,2.0,3725282.0,1322.0,,371955.0,,,103440600.0,10058863.0,13961013.0,2243644.0,49.0,197994876.0,-79678.0,,43.0,17885.0,,372428.0,32930628.0,2225473.0,5380133.0,1348412.0,31799857.0,,0.160609,6116999.0,1945.0,,,3604872.0,6.0,-572492.0,6078.0,2021,2022,-6116999.0,16613491.3254,0.0,-0.04856396908069898,-3817855.0,-0.11593629492884254,1.4924615908692458,0.5897685132786962,1.0112991529241537,0.0,-1.0,inf,-inf,,-6116999.0,inf,8.839767835025643,for-profit
ACADIANA REHABILITATION (193096),Rehabilitation,Proprietary-Corporation,2022-06-01 00:00:00,,-631860.0,,,2023-05-31,,LA,47108.0,4190755.0,1.0,1656596.0,2578.0,,,,,,,4190755.0,,40.0,21446534.0,226906.0,,40.0,14600.0,,23776.0,8418885.0,,1930610.0,,8933462.0,68.0,,1124897.0,414.0,,,1124897.0,,2187757.0,6351.0,2022,2022,1062860.0,,226906.0,-0.0750526940325233,-663224.0,-0.078778127982506,1.716254910449579,1.1126725380190363,,0.20171269013963056,1.058367988258096,0.5141782199759846,0.48582178002401544,,1062860.0,3.848181036559362,5.082038710705567,for-profit
ACCEL REHABILITATION HOSPITAL PLANO (673055),Rehabilitation,Proprietary-Corporation,2022-01-01 00:00:00,,1305542.0,,,2022-12-31,,TX,205056.0,3783687.0,1.0,2587793.0,5628.0,214036.0,,,,,,4282905.0,162996.0,149.0,20361659.0,502013.0,,149.0,54385.0,,98650.0,14418140.0,160991.0,3552005.0,,12131634.0,63.08,,7994929.0,635.0,,,2304490.0,,10004341.0,7638.0,2022,2022,2009412.0,,716049.0,0.09054857283949247,1120717.0,0.07772965167490398,1.5413410342418497,1.9072979270901589,,0.21784125771862756,3.9787405469858843,0.7991459907254261,0.20085400927457392,,2009412.0,1.441188380124188,5.57159710996977,for-profit
ACCESS HOSPITAL DAYTON (364050),Psychiatric,Proprietary-Other,2022-01-01 00:00:00,,-89275.0,,,2022-12-31,,OH,5631.0,,1.0,4368744.0,827.0,,,,,,,1863515.0,,36.0,11893145.0,104594.0,,36.0,13140.0,,643305.0,2581150.0,,7369094.0,,2743917.0,30.21,,4719667.0,493.0,,,4719667.0,,7781626.0,4395.0,2022,2022,3061959.0,,104594.0,-0.034587296360149546,-1381923.0,-0.5353904267477675,1.5613588840060115,0.9288924409285655,,0.022161309261861058,1.541388046018905,0.6065142426531421,0.39348575734685787,,3061959.0,0.3316980281499008,0.5908219845337699,for-profit
ACHS CENTRAL JERSEY (312017),General Long Term,Proprietary-Corporation,2022-09-01 00:00:00,,920467.0,,,2023-08-31,,NJ,374053.0,,1.0,4465587.0,6522.0,,,,,,,11705927.0,6911.0,50.0,111789383.0,4430381.0,,50.0,18250.0,7109.0,193924.0,20592173.0,6773.0,13370892.0,253277.0,19694606.0,82.25,,10142164.0,227.0,,,10142164.0,,23156038.0,7848.0,2022,2022,13013874.0,,4430381.0,0.04469984784995736,-1223366.0,-0.05940927166841498,1.3183470509843855,0.9678836784733514,1.2564933874072635,0.4368279787232784,0.7793347315334389,0.4379921988381605,0.5620078011618396,-144.80827120551413,13013874.0,0.8892787704010505,4.611302612624051,for-profit
ACOMA CANONCITO LAGUNA HOSPITAL (320070),General Short Term (Acute Care Hospitals),Governmental- Federal,2021-10-01 00:00:00,,-12000355.0,,,2022-02-15,,NM,,2092896.0,2.0,,,,,,,,,3247739.0,536754.0,6.0,67609.0,,,6.0,828.0,,469733.0,,356950.0,,,7884478.0,148.0,,,3.0,,,,,,3.0,2021,2022,,,0.0,,,,,,,,,,,,,,,govt
ADAIR COUNTY HEALTH CENTER (370178),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,2022-07-01 00:00:00,,-2101958.0,2117546.0,1264348.0,2023-06-30,1346710.0,OK,,4244123.0,2.0,16899431.0,959.0,,1127427.0,,50769.0,13033069.0,3263503.0,8180372.0,311727.0,30.0,20600352.0,,,30.0,10950.0,60987.0,848400.0,13468940.0,305491.0,67470109.0,968601.0,10640703.0,113.15,0.51653,2946908.0,533.0,,,1481573.0,,72777544.0,2145.0,2022,2022,69830636.0,6731971.130570001,0.0,-0.1560596453766963,-3864390.0,-0.28691121944265846,45.539510371746786,9.987677286235643,,0.0,0.0422007899226351,0.04049199571779998,0.9595080042822001,-49.45299817993999,69830636.0,0.1850699990645466,0.7970055323164431,non-profit
ADAIR COUNTY MEMORIAL HOSPITAL (161310),General Short Term (Critical Access Hospitals),Governmental-County,2022-07-01 00:00:00,,1286993.0,385825.0,,2023-06-30,,IA,245497.0,,2.0,2553493.0,239.0,11434088.0,335704.0,,52326.0,3145471.0,2166787.0,6076871.0,3555083.0,25.0,23213672.0,1260445.0,,25.0,9125.0,335775.0,1444224.0,15480730.0,3730531.0,18120186.0,301416.0,17049791.0,76.53,0.734472,17426644.0,87.0,,,2143439.0,,31453196.0,403.0,2022,2022,14026552.0,2310260.376312,12694533.0,0.08313516223072168,-2493134.0,-0.16104757333794983,8.453791313865242,2.3798251314826313,8.198634530770411,0.5880479920352294,1.2424039778271951,0.5540500240420719,0.44594997595792807,-3.1238478147569055,14026552.0,0.4921830519226091,6.06256997767372,govt
ADAMS COUNTY REGIONAL MEDICAL CENTER (361326),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,2022-01-01 00:00:00,,1502086.0,5321454.0,,2022-12-31,,OH,273962.0,,2.0,16831984.0,1498.0,7660071.0,1976270.0,,212978.0,31861120.0,7124498.0,14710185.0,2899657.0,25.0,104499867.0,6551028.0,,25.0,9125.0,1793716.0,1214003.0,36044736.0,3099904.0,21709717.0,299609.0,34211706.0,204.98,0.327385,33234287.0,552.0,,,7402693.0,,49284196.0,3561.0,2022,2022,16049909.0,10430852.7712,14211099.0,0.04167282567973309,-1179967.0,-0.032736180950250264,2.9326782834300977,3.3616277211549903,2.8551968857819716,0.884952003277726,2.0706838275531654,0.6743396402368013,0.32566035976319874,0.018975133187193512,16049909.0,0.7313649998470098,2.141443100231084,non-profit
ADAMS MEMORIAL HOSPITAL (151330),General Short Term (Critical Access Hospitals),Governmental-County,2022-01-01 00:00:00,,-589714.0,5706904.0,,2022-12-31,,IN,1069412.0,,1.0,34251886.0,1701.0,,3262717.0,,127151.0,21787257.0,5933138.0,36870599.0,6561468.0,25.0,119232359.0,2249694.0,,21.0,9125.0,,1550715.0,76487044.0,7105558.0,17791408.0,1133983.0,66603893.0,404.85,0.558606,32020257.0,957.0,,,9060257.0,4.0,59620900.0,4532.0,2022,2022,27600643.0,12170492.483742,2249694.0,-0.007709985497674612,88583.0,0.0011581438550560274,1.963675864823702,4.593552920187584,1.720482432231227,0.24830355253719624,1.1601272115290937,0.5370643012769012,0.46293569872309875,,27600643.0,1.2828897920024689,2.233075399118168,govt
ADCARE HOSPITAL OF WORCESTER (220062),General Short Term (Acute Care Hospitals),Proprietary-Corporation,2021-10-01 00:00:00,,3923734.0,1851834.0,18827482.0,2022-09-30,17406646.0,MA,406248.0,19802335.0,1.0,11285389.0,13274.0,,740381.0,,,13641352.0,6528234.0,19949202.0,1185701.0,114.0,75153727.0,224111.0,,114.0,41610.0,,2107931.0,36319419.0,1177500.0,12438623.0,165268.0,40001639.0,307.27,0.532264,7323637.0,5792.0,,,6928436.0,,14137879.0,36054.0,2021,2022,6814242.0,7260800.580928,224111.0,0.10803405197643717,-710951.0,-0.019574955205092903,1.7953002669000624,2.2281845426586897,1.712811809187528,0.03234654978410712,1.0747544627854426,0.5180152553293178,0.4819847446706822,,6814242.0,2.568943969601098,3.2182691265671037,for-profit
ADENA REGIONAL MEDICAL CENTER (360159),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,2022-01-01 00:00:00,,-19602962.0,31814413.0,42079440.0,2022-12-31,39149856.0,OH,6583860.0,109913089.0,2.0,278925356.0,12190.0,,12562059.0,,5378250.0,372778008.0,64721529.0,114135626.0,32001390.0,209.0,1802423380.0,1989629.0,,197.0,76285.0,,26460456.0,470687141.0,32378416.0,114470848.0,11822797.0,393780771.0,1711.42,0.218473,405543896.0,9655.0,39.74,,97223004.0,12.0,756109393.0,45407.0,2022,2022,350565497.0,81441929.741784,1989629.0,-0.04164754099368948,16405012.0,0.03485332521544284,1.1774049688898731,2.6877591953443445,0.988080876414804,0.02046459086987273,1.1568277525041204,0.5363561142798817,0.4636438857201183,,350565497.0,0.6225119610437111,1.6875021609724143,non-profit
ADIRONDACK MEDICAL CENTER (330079),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,2022-01-01 00:00:00,,-15187492.0,2230400.0,9979893.0,2022-12-31,10397840.0,NY,3946107.0,44645102.0,2.0,2072791.0,3018.0,,864926.0,,45454.0,42293738.0,9156698.0,60371685.0,9918040.0,83.0,300700109.0,5387783.0,86876.0,75.0,30295.0,,4840318.0,119555517.0,9927407.0,34507285.0,3441353.0,112231691.0,641.39,0.373235,51946336.0,1893.0,,,22307628.0,8.0,100557905.0,7784.0,2022,2022,48611569.0,15785503.30243,5387783.0,-0.12703296661750876,-16860995.0,-0.14103067280450135,1.546882752393038,-0.3464034813562428,1.2157197977301755,0.24152200314618838,1.068600274967467,0.5165813269478914,0.4834186730521086,,48611569.0,1.188922114079445,57.678519927961865,non-profit
ADMIN DE SERVICIOS MEDICOS DE PR (400127),General Short Term (Acute Care Hospitals),Governmental-State,2022-07-01 00:00:00,,-4436.0,,2222276.0,2023-06-30,799928.0,PR,690411.0,52895718.0,1.0,387023996.0,73.0,,,,,,,74328914.0,86990.0,65.0,151901136.0,98928138.0,,,23725.0,,3428450.0,179654600.0,85250.0,218096765.0,5076587.0,149494889.0,1022.8,0.984159,1037283813.0,1505.0,,,753035599.0,65.0,298322012.0,20630.0,2022,2022,-738961801.0,,98928138.0,-2.469182531368526e-05,-120589661.0,-0.6712305780091353,0.28962344581003,0.6453183603076911,0.2819651119840352,0.13137245852835172,-1.4037042396458055,3.4770609317290337,-2.4770609317290337,,-738961801.0,0.6022170432398398,0.46419499012149107,govt
