Hospital,Hospital type,Control type,HAC reduction adjustment amount,Total Liabilities,Total discharges,IPPS Payment amount (unadjusted),Total Inpatient Days,Number of Interns & Residents,Urban (1) and Rural (2) Indicator,Fiscal Year Begin Date,BALANCE SHEET: Total Assets (G_C1THRU4_36),"ADJUSTED SALARIES, Subtotal Salaries",BALANCE SHEET: Accounts Receivable (G_C1THRU4_4),Net Revenue from Medicaid,TRIAL BALANCE OF EXPENSE ACCOUNTS: Interest Expense (A_C2_113),NUMBER OF BEDS: Adults & Pediatrics,Cost To Charge Ratio,Total Salaries,Total Costs,STATEMENT OF REVENUES AND EXPENSES: Net Patient Revenue (G3_C1_3),REIMBURSEMENT SETTLEMENT: Subtotal,BALANCE SHEET: Inventory (G_C1THRU4_7),"Donations, Land Improvements",REIMBURSEMENT SETTLEMENT: Interim payments,BALANCE SHEET: Temporary Investments (G_C1THRU4_2),Total cost of charity care,BALANCE SHEET: Prepaid expenses (G_C1THRU4_8),BALANCE SHEET: Total Current Liabilities (G_C1THRU4_45),Total Bad Debt expense,BED DAYS: Total Hospital,NUMBER OF BEDS: Total Hospital,REIMBURSEMENT SETTLEMENT: Payment to cost ratio,"RECONCILIATION OF CAPITAL COST CENTERS: Depreciation, Total (A7_3_C9_3)",STATEMENT OF REVENUES AND EXPENSES: Net Income (G3_C1_29),BALANCE SHEET: Cash on Hand and in Banks (G_C1THRU4_1),State,HVBP payment adjustment amount,BALANCE SHEET: Total Current Assets (G_C1THRU4_11),Total Charges,IPPS Interim payment,Medicaid charges,FTE Employees on Payroll,Cost of Uncompensated Care,Total Days Title XVIII,Fiscal Year End Date,NUMBER OF BEDS: ICU,Report_Period_Begin_Yr,Beginning FFY,Financial Indicators: Total Net Assets,S-10 DATA: Medicaid Costs,Financial Indicators: Cash Reserves,Financial Indicators: Net Profit Margin,Financial Indicators: Operating Profit,Financial Indicators: Operating Profit Margin,Financial Indicators: LIQUIDITY current ratio,Financial Indicators: LIQUIDITY acid-test ratio,Financial Indicators: LIQUIDITY acid-test ratio (variation),Financial Indicators: LIQUIDITY cash ratio,Financial Indicators: SOLVENCY Debt-to-Equity Ratio,Financial Indicators: SOLVENCY Debt Ratio,Financial Indicators: SOLVENCY Equity Ratio,Financial Indicators: SOLVENCY Interest Coverage Ratio,Financial Indicators: SOLVENCY total assets less total liabilities,Financial Indicators: EFFICIENCY asset turnover ratio,Financial Indicators: EFFICIENCY Accounts Receivable Turnover Ratio,: General Ownership Type
ACADIA ST LANDRY HOSPITAL (191319),Critical Access Hospitals,Governmental-Hospital District,,1149083.0,83.0,,2930.0,101.64,2.0,2013-07-01 00:00:00,9646426.0,4162912.0,3997819.0,825136.0,,25.0,0.772289,3972245.0,12865781.0,14158092.0,2589648.0,268401.0,,2862905.0,,,200959.0,1149083.0,720000.0,9125.0,25.0,,153321.0,723241.0,2445150.0,LA,,6941787.0,16659279.0,,1013177.0,,137275.0,2834.0,2014-06-30,,2013,2013,8497343.0,782465.452153,2445150.0,0.051083225056031564,-147387.0,-0.010410089156081201,6.041153685155902,6.236459855380334,5.632688848412169,2.1279141715611494,0.1352285061342116,0.1191200761815827,0.8808799238184173,,8497343.0,1.4677033753226325,3.5414539777813854,govt
ACADIA VERMILION HOSPITAL (194044),Psychiatric,Proprietary-Corporation,,5419126.0,2254.0,,18382.0,118.64,1.0,2012-12-01 00:00:00,2235470.0,,1959483.0,,,54.0,,6024255.0,9462364.0,11318434.0,15282.0,67668.0,,15283.0,,,90304.0,5419126.0,,19710.0,54.0,,163571.0,582992.0,-23875.0,LA,,1503449.0,22239860.0,,,,,4297.0,2013-11-30,,2012,2013,-3183656.0,,0.0,0.05150818567303569,-474907.0,-0.041958719731015795,0.2774338518794359,0.4691669837534687,0.24828302571300243,0.0,-1.7021707119110858,2.4241550993750756,-1.4241550993750756,,-3183656.0,5.063111560432482,5.776234853785412,for-profit
ACCEL REHABILITATION HOSPITAL PLANO (673055),Rehabilitation,Proprietary-Corporation,,4350134.0,412.0,,5308.0,52.29,1.0,2013-01-04 00:00:00,1932574.0,2358257.0,1192594.0,,,149.0,,2645704.0,6870621.0,6840493.0,,,,,,,56331.0,2513628.0,,53938.0,149.0,,163213.0,-920404.0,226441.0,TX,,1457960.0,11471629.0,,,,,4495.0,2013-12-31,,2013,2013,-2417560.0,,226441.0,-0.13455229031006977,-976717.0,-0.14278459169536464,0.5800221830756181,0.19837103978790815,,0.09008532686618705,-1.7993902943463658,2.250953391694186,-1.2509533916941862,,-2417560.0,3.5395762335620784,5.735810342832514,for-profit
ACCESS HOSPITAL DAYTON (364050),Psychiatric,Proprietary-Partnership,,,,,,,,2012-11-20 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,OH,,,,,,,,,2012-12-31,,2012,2013,,,0.0,,,,,,,,,,,,,,,for-profit
ACCESS HOSPITAL DAYTON (364050),Psychiatric,Proprietary-Other,,6465918.0,475.0,,6593.0,61.0,1.0,2013-01-01 00:00:00,6465918.0,2698514.0,9917862.0,,,52.0,,2346724.0,3726714.0,3357622.0,,316520.0,,,,,,6179379.0,,15808.0,52.0,,,-369092.0,475847.0,OH,,3679358.0,8184550.0,,,,,3293.0,2013-12-31,,2013,2013,0.0,,475847.0,-0.10992660877251817,-369092.0,-0.10992660877251817,0.5954252037300188,1.622269325121505,,0.07700563438494386,inf,1.0,0.0,,0.0,0.5192800156141788,0.33854292386806756,for-profit
ACHS CENTRAL JERSEY (312017),General Long Term,Proprietary-Corporation,,10968265.0,318.0,,10233.0,133.18,1.0,2013-01-01 00:00:00,15812975.0,,3892590.0,,3299.0,50.0,,9811234.0,17462578.0,21435092.0,10519.0,249893.0,,10316.0,,,59017.0,10968265.0,,18250.0,50.0,,191532.0,3171598.0,8739469.0,NJ,,13584445.0,97344863.0,,,,,8101.0,2013-12-31,,2013,2013,4844710.0,,8739469.0,0.14796288254792656,3130245.0,0.14603366292992817,1.2385226833961434,1.4408529516746724,1.2103587030400889,0.7967959380995991,2.2639672962881163,0.6936243812438836,0.3063756187561164,1006.9042133979993,4844710.0,1.355538220986247,5.506640051996229,for-profit
ACOMA CANONCITO LAGUNA HOSPITAL (320070),General Short Term (Acute Care Hospitals),Governmental- Federal,,,249.0,689528.0,985.0,,2.0,2012-10-01 00:00:00,,5745517.0,,,,6.0,,9598328.0,11659878.0,,1091028.0,,,1327301.0,,,,,,2190.0,6.0,,342322.0,-27738382.0,,NM,,,215845.0,785921.0,,,,387.0,2013-09-30,,2012,2013,,,0.0,,,,,,,,,,,,,,,govt
ACUITY HOSPITAL OF SOUTH TEXAS (452040),General Long Term,Proprietary-Partnership,,9709788.0,321.0,,9843.0,162.16,1.0,2013-06-01 00:00:00,13100607.0,,3507855.0,,,30.0,,7367167.0,16508663.0,17562656.0,2652.0,214438.0,,2600.0,,,118623.0,2372028.0,,10950.0,30.0,,705288.0,706732.0,346236.0,TX,,4064172.0,53666118.0,,,,,6385.0,2014-05-31,,2013,2013,3390819.0,,346236.0,0.04024061053180111,670052.0,0.03815208815796426,1.713374378380019,1.9227525981986722,1.572962460814122,0.1459662364862472,2.863552433792544,0.7411708480378046,0.25882915196219536,,3390819.0,1.340598645543676,5.00666532681653,for-profit
ACUITY SPECIALTY HOSP OF NEW JERSEY (312023),General Long Term,Proprietary-Partnership,,3645708.0,304.0,,9365.0,103.43,1.0,2013-09-01 00:00:00,10456664.0,,3372732.0,,67213.0,30.0,,8212948.0,19559247.0,21892768.0,83.0,178174.0,,81.0,,,278484.0,3609176.0,,10950.0,30.0,,375580.0,2037190.0,1704005.0,NJ,,5672885.0,131061451.0,,,,,6618.0,2014-08-31,,2013,2013,6810956.0,,1704005.0,0.0930531031982799,2026367.0,0.09255873903199449,1.5717950579301203,1.9710668030597567,1.4452681166005759,0.4721313119670529,0.5352711131888094,0.348649244156645,0.651350755843355,35.7363456474194,6810956.0,2.093666584294953,6.491108098716412,for-profit
ACUITY SPECIALTY HOSPITAL (362035),General Long Term,Proprietary-Partnership,,5318824.0,804.0,,20261.0,182.0,1.0,2013-01-01 00:00:00,8845774.0,,16487176.0,,66340.0,72.0,,11241141.0,26369470.0,28912227.0,14622.0,321760.0,,14418.0,,,140726.0,3369248.0,,26280.0,72.0,,424552.0,2402375.0,2005268.0,OH,,6576429.0,121265325.0,,,,,14180.0,2013-12-31,,2013,2013,3526950.0,,2005268.0,0.08309200809747377,2339691.0,0.08092392882775858,1.9518981683746641,6.201626891223205,1.8146313361319797,0.5951678237992573,1.5080519996030564,0.6012841838373895,0.39871581616261054,41.66781730479349,3526950.0,3.268479049996077,1.7536191158510106,for-profit
ACUTE CARE SPECIALTY HOSPITAL (362032),General Long Term,Voluntary Nonprofit-Other,,2647323.0,177.0,,4647.0,52.09,1.0,2012-10-01 00:00:00,5656326.0,3405158.0,1032593.0,,,30.0,,3405158.0,7021543.0,7854110.0,,,,,,,,2647323.0,,10950.0,30.0,,,872696.0,4623733.0,OH,,5656326.0,13956096.0,,,,,2066.0,2013-09-30,,2012,2013,3009003.0,,4623733.0,0.11111328972983571,868605.0,0.11059241594528216,2.1366210318876844,2.466273288148065,,1.7465692701646154,0.8798007180451465,0.46802871687381525,0.5319712831261847,,3009003.0,1.3885532764554236,7.606201087940748,non-profit
ADAIR COUNTY HEALTH CENTER (370178),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,,,1454.0,4274635.0,5418.0,179.92,2.0,2013-07-01 00:00:00,,5527587.0,,,24230.0,30.0,0.496988,11637759.0,11710346.0,19679221.0,487340.0,,,472216.0,,,,,,10950.0,30.0,,848400.0,,,OK,-4762.0,,23562641.0,4111715.0,,,-77581.0,3267.0,2014-06-30,,2013,2013,,,0.0,,-116596.0,-0.005924828020377432,,,,,,,,30.202393726784976,,,inf,non-profit
ADAIR COUNTY MEMORIAL HOSPITAL (161310),Critical Access Hospitals,Governmental-County,,10936273.0,98.0,,518.0,64.81,1.0,2013-07-01 00:00:00,19444046.0,,1465013.0,1170507.0,381104.0,25.0,0.904751,4292585.0,10023604.0,9977821.0,1930782.0,227756.0,,1818551.0,1615834.0,44519.0,213840.0,2667377.0,325070.0,9125.0,25.0,,823094.0,1217471.0,2203395.0,IA,,6994660.0,11078855.0,,1416678.0,,338626.0,470.0,2014-06-30,,2013,2013,8507773.0,1281740.837178,3819229.0,0.12201772310808141,-1546034.0,-0.15494705707789305,2.6222989851078418,1.9535854886654567,2.4567445846612608,0.826053085109454,1.2854448514317436,0.5624484225145322,0.4375515774854678,-1.8969625089214492,8507773.0,0.5131555952912269,6.810738880815392,govt
ADAMS COUNTY REGIONAL MEDICAL CENTER (361326),General Short Term (Critical Access Hospitals),Governmental-County,,32965017.0,784.0,,3097.0,206.2,2.0,2013-01-01 00:00:00,30556129.0,,2956687.0,2616406.0,1941820.0,25.0,0.437028,9644477.0,21532957.0,23829531.0,2852778.0,293196.0,,3335090.0,85359.0,1266946.0,31789.0,7063164.0,3286988.0,9125.0,25.0,,2314268.0,-551825.0,93842.0,OH,,4818404.0,49271396.0,,10367697.0,,2553301.0,1785.0,2013-12-31,,2013,2013,-2408888.0,4530973.884516001,179201.0,-0.023157190966116792,-2557797.0,-0.10733727827039483,0.6821877560821185,0.3821733432778851,0.6361765067326768,0.013286113702017963,-13.684744579241542,1.0788348550302298,-0.07883485503022977,-0.12541275710416003,-2408888.0,0.7798609241373474,8.059537922005271,govt
ADAMS MEMORIAL HOSPITAL (151330),General Short Term (Critical Access Hospitals),Governmental-County,,42282630.0,1524.0,,5745.0,315.22,1.0,2013-01-01 00:00:00,53011613.0,,11084444.0,1929565.0,,21.0,0.434486,18967413.0,35633797.0,40128298.0,2130879.0,647579.0,,2240153.0,,76330.0,159098.0,6867961.0,4954777.0,9125.0,25.0,,2589659.0,-606418.0,1590685.0,IN,,14570822.0,82013620.0,,6556731.0,,2158013.0,2497.0,2013-12-31,4.0,2013,2013,10728983.0,2848807.825266,1590685.0,-0.015111979082691221,-3017460.0,-0.07519531478758457,2.1215644643293694,1.7907509958195744,2.0041093710345765,0.23160949807373687,3.9409727837205075,0.7976107046582416,0.20238929534175842,,10728983.0,0.7569718355862893,3.620235530081617,govt
ADCARE HOSPITAL OF WORCESTER (220062),General Short Term (Acute Care Hospitals),Proprietary-Corporation,,9185371.0,6300.0,21684902.0,36986.0,320.4,1.0,2012-10-01 00:00:00,10880818.0,15586453.0,3975605.0,6438175.0,60.0,114.0,0.495749,15363912.0,28584555.0,36265327.0,1729908.0,104871.0,,1723105.0,,73320.0,266149.0,4744268.0,3012000.0,41610.0,114.0,,680584.0,4663880.0,4074774.0,MA,,8510798.0,57659309.0,20558427.0,16217282.0,,848881.0,19594.0,2013-09-30,,2012,2013,1695447.0,8039701.334218,4074774.0,0.12860438291374016,4418699.0,0.12184362766120929,1.7939117267405635,2.679920063537726,1.7157078815952218,0.8588836043832262,5.417669204640428,0.8441801893938489,0.1558198106061511,84988.05,1695447.0,3.3329596175581653,9.121964329957327,for-profit
ADENA REGIONAL MEDICAL CENTER (360159),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,,222705081.0,11482.0,37237580.0,37749.0,1787.07,2.0,2013-01-01 00:00:00,473315524.0,66003903.0,169431242.0,27689877.0,,184.0,0.231694,148282517.0,174019503.0,386939513.0,19825127.0,5849646.0,,19683753.0,47129988.0,7581486.0,12235893.0,46727675.0,17619660.0,72763.0,196.0,,17477960.0,30336601.0,34582037.0,OH,77723.0,158237735.0,751073976.0,33501056.0,130507229.0,,11430878.0,14572.0,2013-12-31,12.0,2013,2013,250610443.0,30237741.915926002,81712025.0,0.07840140378736662,-2542172.0,-0.006569946760645248,3.3863815180190326,5.015226629615105,2.9993402410883916,0.7400761326130607,0.8886504422323693,0.47052139578671415,0.5294786042132859,,250610443.0,0.8175086034152558,2.2837553950056035,non-profit
ADIRONDACK MEDICAL CENTER (330079),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,,30753579.0,2368.0,9990916.0,10701.0,545.4,2.0,2013-01-01 00:00:00,84238617.0,33579275.0,15272569.0,6282379.0,586795.0,75.0,0.46659,40531721.0,75071017.0,85883733.0,6945497.0,2088390.0,,6905544.0,,30445.0,3664025.0,15463693.0,3255968.0,30295.0,83.0,,4519788.0,2448585.0,12167651.0,NY,9790.0,34757745.0,160892950.0,10048537.0,19931753.0,,1406960.0,5078.0,2013-12-31,8.0,2013,2013,53485038.0,9299956.63227,12167651.0,0.028510463093168063,-1970559.0,-0.022944496369294985,2.24770014510764,2.0107646342953136,1.8757052406562909,0.7868528559122326,0.5749940572165247,0.3650769693904163,0.6349230306095838,4.3443263831491405,53485038.0,1.0195292379978176,5.623397936522664,non-profit
ADMIN DE SERVICIOS MEDICOS DE PR (400127),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,,454098357.0,1797.0,1676139.0,23842.0,1641.0,1.0,2013-07-01 00:00:00,135215466.0,42815359.0,214873386.0,,,,0.927828,87517597.0,115931392.0,131532273.0,164053.0,3433363.0,,160773.0,,,2193932.0,172861170.0,,28835.0,79.0,,1928917.0,-49817701.0,2055170.0,PR,,46153862.0,124949216.0,1962040.0,,,,903.0,2014-06-30,79.0,2013,2013,-318882891.0,,2055170.0,-0.378748879371985,-84422237.0,-0.6418366768435607,0.26699959279461083,0.9667344898799424,0.2344457520448346,0.0118891362357434,-1.4240286005184266,3.358331487020871,-2.358331487020871,,-318882891.0,0.972760564239005,0.6121385037419199,non-profit
ADV CARE HOSP OF SOUTHERN NEW MEXICO (322004),General Long Term,Proprietary-Corporation,,91761855.0,215.0,,5831.0,47.35,1.0,2013-03-01 00:00:00,94537591.0,,-3001338.0,,,20.0,,3597209.0,9375704.0,9075395.0,190.0,110864.0,,186.0,,,20632.0,91761855.0,,7300.0,20.0,,33743.0,571468.0,500.0,NM,,-5109233.0,20888791.0,,,,,3357.0,2014-02-28,,2013,2013,2775736.0,,500.0,0.06296893964394938,512970.0,0.05652315959801199,0.0,0.006233178263451627,-0.0014330137506483494,5.448887230974134e-06,33.058567169212054,0.9706388118140222,0.02936118818597779,,2775736.0,0.09599773914272895,inf,for-profit
ADVANCE CARE HOSPITAL (042004),General Long Term,Voluntary Nonprofit-Church,,1653022.0,48.0,,1067.0,40.21,1.0,2012-10-01 00:00:00,1877827.0,,3326067.0,,,27.0,,559912.0,1425433.0,1330160.0,,86446.0,,,,,5500.0,1615909.0,,2484.0,27.0,,13845.0,-113897.0,359001.0,AR,,1659226.0,3721451.0,,,,,660.0,2012-12-31,,2012,2013,224805.0,,359001.0,-0.0856265411679798,-151906.0,-0.11420129909183857,1.026806583786587,2.2100074942338956,0.9699061023857161,0.2221665947773049,7.353137163319321,0.880284499051297,0.11971550094870294,,224805.0,0.7083506627607336,0.3999197851396259,non-profit
ADVANCE CARE HOSPITAL (042004),General Long Term,Voluntary Nonprofit-Church,,1387620.0,118.0,,2942.0,35.4,1.0,2013-01-01 00:00:00,1653860.0,,1704095.0,,,27.0,,1400971.0,3713776.0,3540755.0,,76055.0,,,,,5500.0,1338136.0,,6561.0,27.0,,35838.0,-181506.0,1571944.0,AR,,2341223.0,9974116.0,,,,,2475.0,2013-08-31,,2013,2013,266240.0,,1571944.0,-0.05126194836976859,-268325.0,-0.07578186008351326,1.7496151362791226,2.3125698733163147,1.688668416364256,1.1747266346619476,5.2119140625,0.8390190221663261,0.16098097783367396,,266240.0,2.1409037040620125,2.0777920245056762,non-profit
